OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,CreationDate,Creator,EditDate,Editor,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),x,y
1,Gadwall,2,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,3b7d0fdd-4cbb-4586-b255-7d415c85ecaf,,,,,,,,,,,,,,,,6/20/2023 2:12:46 PM,CCBER-Admin,6/20/2023 2:12:46 PM,CCBER-Admin,,,,,,,,-119.874432818609,34.4176906477046
2,Great Blue Heron,1,No,Air,,,,6.1,Lisa Lynn scarlet. jeremiah,,,,,,,,,,,,,,,,ad47f385-15a2-4e04-8db0-3644b9681e35,,,,,,,,,,,,,,,,6/20/2023 2:14:18 PM,CCBER-Admin,6/20/2023 2:15:00 PM,CCBER-Admin,,,,,,,,-119.875001163824,34.4180137998189
3,Mallard,1,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,af754688-8fc4-45e1-a063-e020ff1d2cc7,,,,,,,,,,,,,,,,6/20/2023 2:17:43 PM,CCBER-Admin,6/20/2023 2:17:43 PM,CCBER-Admin,,,,,,,,-119.874318667889,34.4179116352993
4,Cliff Swallow,50,No,Air,,,,,,,,,,,,,,,,,,,,,8cf66a6d-3600-4fed-931e-b01cb9614cea,,,,,,,,,,,,,,,,6/20/2023 2:20:33 PM,CCBER-Admin,6/20/2023 2:20:33 PM,CCBER-Admin,,,,,,,,-119.874486553134,34.4182180528965
5,Mallard,2,No,Air,,,,,,,,,,,,,,,,,,,,,51380ab2-7c7d-48b1-8a8d-749cac9ec585,,,,,,,,,,,,,,,,6/20/2023 2:20:51 PM,CCBER-Admin,6/20/2023 2:20:51 PM,CCBER-Admin,,,,,,,,-119.87439717256,34.4180301014894
6,Cliff Swallow,100,No,Bare ground,,,,,,,,,,,,,,,,,,,,,a6c9ee04-13ca-496c-91ac-2b58b6fac2fb,,,,,,,,,,,,,,,,6/20/2023 2:21:19 PM,CCBER-Admin,6/20/2023 2:21:19 PM,CCBER-Admin,,,,,,,,-119.875634573118,34.4190986743245
7,Song Sparrow,2,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,957b7cd4-2e4e-4b81-a122-780d5ddb9d96,,,,,,,,,,,,,,,,6/20/2023 2:22:36 PM,CCBER-Admin,6/20/2023 2:22:36 PM,CCBER-Admin,,,,,,,,-119.873890232584,34.4188933355444
8,Oak Titmouse,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,0965d42f-3066-42cc-b59c-51a9e620af66,,,,,,,,,,,,,,,,6/20/2023 2:23:36 PM,CCBER-Admin,6/20/2023 2:23:36 PM,CCBER-Admin,,,,,,,,-119.873710335067,34.4187924244664
9,American Crow,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,c9bffb17-ad76-45c6-a21a-40a63ed6461d,,,,,,,,,,,,,,,,6/20/2023 2:23:53 PM,CCBER-Admin,6/20/2023 2:23:53 PM,CCBER-Admin,,,,,,,,-119.873871173927,34.4192141591038
10,American Crow,2,No,Bare ground,,,,,,,,,,,,,,,,,,,,,e145e9ee-59ca-4b72-a0c4-b3db7e9347a7,,,,,,,,,,,,,,,,6/20/2023 2:25:04 PM,CCBER-Admin,6/20/2023 2:25:04 PM,CCBER-Admin,,,,,,,,-119.874961756529,34.4184257209692
