species,category_x,e_bird_group,total_count,number_years,sort_v2025,species_code,taxon_concept_id,clements_v2025_change,text_for_website_v2025,category_y,scientific_name,authority,name_and_authority,range,order,family,extinct,extinct_year,sort_v2024
Wrentit,species,"Parrotbills, Wrentit, and Allies",42,7,25431,wrenti,avibase-989B57D8,NA,NA,species,Chamaea fasciata,"(Gambel, 1845)","Chamaea fasciata (Gambel, 1845)","coastal sage scrub, chaparral, and dense shrubbery on Pacific coast and adjacent interior from far northwestern Oregon (northwestern USA) southwards to northern Baja California (northwestern Mexico)",Passeriformes,Paradoxornithidae (Parrotbills),NA,NA,25194
Mallard,species,Waterfowl,2601,8,545,mallar3,avibase-85625D75,NA,NA,species,Anas platyrhynchos,"Linnaeus, 1758","Anas platyrhynchos Linnaeus, 1758",breeds Holarctic; winters to southern USA and southern Asia,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,525
Least Sandpiper,species,Shorebirds,957,8,6226,leasan,avibase-A47B0BD4,range,"range changed from ""breeds northern North America; winters to southern South America and Hawaiian Islands"" to ""breeds tundra and taiga wetlands from eastern Aleutian Is through Alaska and Canada eastward to Labrador and Nova Scotia; winters mudflats and wetlands from southeastern USA, Caribbean, and Mexico southward to northern South America"".",species,Calidris minutilla,"(Vieillot, 1819)","Calidris minutilla (Vieillot, 1819)","breeds tundra and taiga wetlands from eastern Aleutian Is through Alaska and Canada eastward to Labrador and Nova Scotia; winters mudflats and wetlands from southeastern USA, Caribbean, and Mexico southward to northern South America",Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,6162
Rock Pigeon,domestic,Pigeons and Doves,1478,8,1853,rocpig,avibase-BBA263C2,NA,NA,species,Columba livia,"Gmelin, 1789","Columba livia Gmelin, 1789","native populations existed from lowland to montane open rocky habitats, from sea-cliffs to open steppe, desert canyons, and rocky crags, from the Faroe and Shetland islands (Britain) and Scandinavia eastward to Mongolia, and southward to Madeira, Azores, Cape Verde, and Canary Islands, Ghana, Sudan, Arabian Peninsula, India, and eastern Himalayas; native limits unclear due to presence of feral pigeons. Wild native populations now absent from Faroes, Shetland, Norway, and Europe except southwestern Portugal and coastal Sardinia (France). Feral populations introduced globally, especially in cities and towns, on all continents (except Antarctica), and on many oceanic islands. Feral and domestic pigeons cloud extent of native populations, owing to extensive interbreeding.",Columbiformes,Columbidae (Pigeons and Doves),NA,NA,1817
Scaly-breasted Munia,species,Estrildids,1105,8,31076,nutman,avibase-6D4F72B1,NA,NA,species,Lonchura punctulata,"(Linnaeus, 1758)","Lonchura punctulata (Linnaeus, 1758)","northern Pakistan southward to Sri Lanka, southern China including Hainan, Taiwan, Malay Peninsula, Indonesian archipelago except most of Borneo, and Philippines",Passeriformes,Estrildidae (Waxbills and Allies),NA,NA,30801
Black Phoebe,species,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",724,8,16998,blkpho,avibase-B182DED2,NA,NA,species,Sayornis nigricans,"(Swainson, 1827)","Sayornis nigricans (Swainson, 1827)",southwestern Oregon and southwestern USA south through mountains of South America to northwestern Argentina,Passeriformes,Tyrannidae (Tyrant Flycatchers),NA,NA,16831
Cassin's Kingbird,species,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",284,8,17461,caskin,avibase-178B8955,NA,NA,species,Tyrannus vociferans,"Swainson, 1826","Tyrannus vociferans Swainson, 1826","breeds varied woodland types of hills and mountains from central California southward through north-central Baja California, and eastern Montana and western Nebraska southward through Oaxaca (southeastern Mexico); non-breeders range mostly in Mexico to eastern Chiapas",Passeriformes,Tyrannidae (Tyrant Flycatchers),NA,NA,17292
Northern House Wren,species,Wrens,130,8,27191,houwre,avibase-A4F5C5C8,NA,NA,species,Troglodytes aedon,"Vieillot, 1809","Troglodytes aedon Vieillot, 1809",breeds southern Canada through USA (except most southern states) to northern and south-central Mexico; winters to south-central Mexico,Passeriformes,Troglodytidae (Wrens),NA,NA,26942
Red-tailed Hawk,species,"Vultures, Hawks, and Allies",139,8,8506,rethaw,avibase-536A5157,NA,NA,species,Buteo jamaicensis,"(Gmelin, 1788)","Buteo jamaicensis (Gmelin, 1788)","Alaska and subarctic Canada through USA, Greater Antilles, and northern Lesser Antilles to western Panama; northern populations winter to south",Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,8410
California Quail,species,"Grouse, Quail, and Allies",3,2,1094,calqua,avibase-F93AC929,NA,NA,species,Callipepla californica,"(Shaw, 1798)","Callipepla californica (Shaw, 1798)",Oregon to southern Baja California (western USA to northwestern Mexico),Galliformes,Odontophoridae (New World Quail),NA,NA,1064
