species,category_x,e_bird_group,total_count,number_years,sort_v2025,species_code,taxon_concept_id,clements_v2025_change,text_for_website_v2025,category_y,scientific_name,authority,name_and_authority,range,order,family,extinct,extinct_year,sort_v2024
Orange-crowned Warbler,species,Wood-Warblers,78,8,33973,orcwar,avibase-FFF61080,NA,NA,species,Leiothlypis celata,"(Say, 1822)","Leiothlypis celata (Say, 1822)",breeds in shrub and woodland from Alaska eastwards to Newfoundland (eastern Canada) and southwards through most of the western USA to northern Baja California and New Mexico; winters on Pacific coast of USA and southern USA throughout Mexico (rarer in the Yucatan Peninsula) except the far south,Passeriformes,Parulidae (New World Warblers),NA,NA,33696
Hooded Oriole,species,Blackbirds,46,8,33682,hooori,avibase-526A3692,NA,NA,species,Icterus cucullatus,"Swainson, 1827","Icterus cucullatus Swainson, 1827","breeds north-central California to southern Texas, several islands off southern California and western Mexico, and Baja California southward to Oaxaca on the Pacific slope and Yucatan Peninsula including northern Belize on the Caribbean slope",Passeriformes,Icteridae (Troupials and Allies),NA,NA,33404
Gadwall,species,Waterfowl,444,8,505,gadwal,avibase-C235A4D7,NA,NA,species,Mareca strepera,"(Linnaeus, 1758)","Mareca strepera (Linnaeus, 1758)","breeds temperate Holarctic; winters to northern Africa, southern Asia, and southern Mexico; formerly Line Islands, where extinct since c. 1874",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,487
Canada Goose,species,Waterfowl,1792,8,342,cangoo,avibase-B59E1863,NA,NA,species,Branta canadensis,"(Linnaeus, 1758)","Branta canadensis (Linnaeus, 1758)",breeds most of North America; winters mostly USA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,330
Greater Yellowlegs,species,Shorebirds,144,8,6154,greyel,avibase-6EB81C98,range,"range changed from ""Alaska and Canada; winters to southern South America"" to ""breeds taiga muskeg from southern Alaska eastward through southern tier of Canadian provinces to eastern Labrador (eastern Canada); winters wetlands of southern USA and throughout Caribbean southward to Tierra del Fuego"".",species,Tringa melanoleuca,"(Gmelin, 1789)","Tringa melanoleuca (Gmelin, 1789)",breeds taiga muskeg from southern Alaska eastward through southern tier of Canadian provinces to eastern Labrador (eastern Canada); winters wetlands of southern USA and throughout Caribbean southward to Tierra del Fuego,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,6092
White-breasted Nuthatch,species,Nuthatches,14,6,26889,whbnut,avibase-19CCBBD2,NA,NA,species,Sitta carolinensis,"Latham, 1790","Sitta carolinensis Latham, 1790","mature and mixed woodland from eastern British Columbia eastwards to Nova Scotia (southwestern to southeastern Canada), southwards to northern Baja California and disjunctly in far southern Baja California (northwestern Mexico), in mountains of Mexico to northern Oaxaca, and to northern Florida",Passeriformes,Sittidae (Nuthatches),NA,NA,26640
Tree Swallow,species,Martins and Swallows,86,7,24064,treswa,avibase-BBA2F9DF,NA,NA,species,Tachycineta bicolor,"(Vieillot, 1808)","Tachycineta bicolor (Vieillot, 1808)",breeds Alaska to southern USA; winters to northern South America,Passeriformes,Hirundinidae (Swallows),NA,NA,23834
Red-necked Phalarope,species,Shorebirds,32,6,6121,renpha,avibase-E6F3BA54,range,"range changed from ""Holarctic circumpolar; winters at sea in southern hemisphere"" to ""breeds mostly low Arctic tundra from southern Greenland and Iceland eastward to Kamchatka, Kuril, and Commander islands, and Aleutians through Canada; winters off coasts of Indian Ocean from Arabian Sea eastward through Indonesian Archipelago and in Pacific to New Guinea and Bismarck Archipelago and western Mexico to Peru and Galapagos"".",species,Phalaropus lobatus,"(Linnaeus, 1758)","Phalaropus lobatus (Linnaeus, 1758)","breeds mostly low Arctic tundra from southern Greenland and Iceland eastward to Kamchatka, Kuril, and Commander islands, and Aleutians through Canada; winters off coasts of Indian Ocean from Arabian Sea eastward through Indonesian Archipelago and in Pacific to New Guinea and Bismarck Archipelago and western Mexico to Peru and Galapagos",Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,6059
Spotted Towhee,species,New World Sparrows,31,7,33386,spotow,avibase-58E25701,NA,NA,species,Pipilo maculatus,"Swainson, 1827","Pipilo maculatus Swainson, 1827","breeds in shrubland, brushland, thickets, and oak woodland, from southern British Columbia to Saskatchewan (southwestern Canada) southwards across western and west-central USA to northern Baja California, locally in southern Baja California, Isla Socorro, and mountains of Mexico and Guatemala; mostly resident, some wintering to southern Texas and northern Mexico as non-breeder",Passeriformes,Passerellidae (New World Sparrows),NA,NA,33108
Western Flycatcher,species,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",11,6,16975,wesfly,avibase-B12B8816,NA,NA,species,Empidonax difficilis,"Baird, 1858","Empidonax difficilis Baird, 1858","breeds in humid coastal coniferous forest, pine-oak forest, and dense secondary woodland from southwestern Alaska eastwards to far southern Yukon and southwestern Alberta (western Canada), through Pacific lowlands (including islands off southern California) and mountains of western USA eastwards to western South Dakota and western Texas, southwards to northern Baja California, disjunctly in montane Baja California Sur, through mountains of Mexico to central Oaxaca, and to Coahuila (northeastern Mexico); Canadian and US populations winter in Mexico from central Baja California, Sonora, and Nuevo León southwards to eastern Oaxaca and Veracruz",Passeriformes,Tyrannidae (Tyrant Flycatchers),NA,NA,16808
European Starling,species,Starlings and Mynas,281,8,27813,eursta,avibase-94A44032,NA,NA,species,Sturnus vulgaris,"Linnaeus, 1758","Sturnus vulgaris Linnaeus, 1758","breeds Britain and Scandinavia to central Europe, southern Siberia, northern Mongolia, Pakistan, and western Himalayas; northern populations winter to south",Passeriformes,Sturnidae (Starlings),NA,NA,27571
Northern Rough-winged Swallow,species,Martins and Swallows,89,8,24106,nrwswa,avibase-2C1981BB,NA,NA,species,Stelgidopteryx serripennis,"(Audubon, 1838)","Stelgidopteryx serripennis (Audubon, 1838)","breeds in open areas, often near water and rocky outcrops, gorges, and embankments, from southeastern Alaska and western British Columbia eastwards to southern New Brunswick (southwestern to southeastern Canada) and southwards to northern Baja California, Pacific and Atlantic slopes of Mexico, southern Mexico (including Yucatan Peninsula) to central Costa Rica, Gulf coast, and southern Florida; populations from Canada and USA winter in the Greater Antilles more widely and Mexico to central Panama",Passeriformes,Hirundinidae (Swallows),NA,NA,23876
Great-tailed Grackle,species,Blackbirds,19,5,33864,grtgra,avibase-5CBA3391,NA,NA,species,Quiscalus mexicanus,"(Gmelin, 1788)","Quiscalus mexicanus (Gmelin, 1788)","varied open habitats, including forest edge, prairies, deserts, mangroves, and cities, from southeastern Oregon eastwards to central Iowa (and expanding northward), and southwards across central and western USA through Mexico (but rare Baja California) and Central America to northern Colombia and western Venezuela, and from western Colombia southwards to northwestern Peru (spreading southward in interior Colombia and to southwestern Ecuador, and also spreading in Greater Antilles)",Passeriformes,Icteridae (Troupials and Allies),NA,NA,33587
Western Bluebird,species,Thrushes,396,8,28136,wesblu,avibase-AC2B812A,NA,NA,species,Sialia mexicana,"Swainson, 1832","Sialia mexicana Swainson, 1832","disjunct open deciduous, coniferous, and riparian woodland from southern interior British Columbia and western Alberta (southwestern Canada) southwards across interior western USA and coastal California to northern Baja California (northwestern Mexico), and in south-central USA from far southern Wyoming southwards to Puebla and Veracruz (central Mexico); some winter wandering, with most withdrawing from north of range in winter",Passeriformes,Turdidae (Thrushes and Allies),NA,NA,27891
Brown-headed Cowbird,species,Blackbirds,24,8,33833,bnhcow,avibase-1E1AB415,NA,NA,species,Molothrus ater,"(Boddaert, 1783)","Molothrus ater (Boddaert, 1783)","grassland with scattered trees, thickets, and fields from far southeastern Alaska and northwestern Canada eastwards to Labrador (eastern Canada), and southwards across the USA to northern Baja California, central Mexico (Michoacan), the Gulf of Mexico coast in the US and central Florida; winters to southern Baja California and Oaxaca (southwestern Mexico), southern Florida, and the Bahamas",Passeriformes,Icteridae (Troupials and Allies),NA,NA,33556
Northern Yellow Warbler,species,Wood-Warblers,38,7,34087,yelwar1,avibase-B64C749B,split; name change - English,"Polytypic Yellow Warbler Setophaga petechia (with subspecies rubiginosa, amnicola, aestiva, morcomi, sonorana, dugesi, oraria, bryanti, erithachorides, chrysendeta, paraguanae, cienagae, castaneiceps, rhizophorae, xanthotera, aequatorialis, peruviana, aureola, rufivertex, armouri, flavida, eoa, gundlachi, albicollis, cruciana, bartholemica, melanoptera, ruficapilla, babad, petechia, alsiosa, rufopileata, obscura, and aurifrons) is split into polytypic Northern Yellow Warbler Setophaga aestiva (with subspecies rubiginosa, amnicola, aestiva, morcomi, sonorana, and dugesi) and polytypic Mangrove Yellow Warbler Setophaga petechia (with subspecies oraria, bryanti, erithachorides, chrysendeta, paraguanae, cienagae, castaneiceps, rhizophorae, xanthotera, aequatorialis, peruviana, aureola, rufivertex, armouri, flavida, eoa, gundlachi, albicollis, cruciana, bartholemica, melanoptera, ruficapilla, babad, petechia, alsiosa, rufopileata, obscura, and aurifrons",species,Setophaga aestiva,"(Gmelin, 1789)","Setophaga aestiva (Gmelin, 1789)","breeds northern Alaska and Aleutian Islands to Newfoundland, southward to south-central Mexico; winters to northern South America",Passeriformes,Parulidae (New World Warblers),NA,NA,33808
Northern Pintail,species,Waterfowl,22,5,594,norpin,avibase-56CCA717,range,"range changed from ""Palearctic and North America; winters to southern Eurasia and northern South America"" to ""breeds Palearctic from Iceland and northern Scandinavia eastwards to northeastern Russia, and southwards to central Europe to southeastern Russia, and North America from northern Alaska and arctic Canada southwards to north-central USA; winters to central Africa, southern Asia, southern Central America, and the Caribbean"".",species,Anas acuta,"Linnaeus, 1758","Anas acuta Linnaeus, 1758","breeds Palearctic from Iceland and northern Scandinavia eastwards to northeastern Russia, and southwards to central Europe to southeastern Russia, and North America from northern Alaska and arctic Canada southwards to north-central USA; winters to central Africa, southern Asia, southern Central America, and the Caribbean",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,571
Northern Shoveler,species,Waterfowl,552,8,501,norsho,avibase-ED4CE8E7,range,"range changed from ""breeds Holarctic (except Arctic); winters through eastern Africa, southern Asia, and Central America"" to ""breeds Holarctic (except Arctic); winters through eastern Africa, southern and southeastern Asia, the Philippines, the Caribbean, and Central America"".",species,Spatula clypeata,"(Linnaeus, 1758)","Spatula clypeata (Linnaeus, 1758)","breeds Holarctic (except Arctic); winters through eastern Africa, southern and southeastern Asia, the Philippines, the Caribbean, and Central America",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,483
Ring-billed Gull,species,"Gulls, Terns, and Skimmers",195,8,6521,ribgul,avibase-23863F65,range,"range changed from ""North America; winters to southern Mexico, Bahamas, and Greater Antilles"" to ""breeds inland British Columbia eastward to Labrador and Newfoundland (eastern Canada), Pacific Northwest states, and Great Lakes (northern USA); winters to coastal and inland southern USA, southern Mexico, Bahamas, and Greater Antilles"".",species,Larus delawarensis,"Ord, 1815","Larus delawarensis Ord, 1815","breeds inland British Columbia eastward to Labrador and Newfoundland (eastern Canada), Pacific Northwest states, and Great Lakes (northern USA); winters to coastal and inland southern USA, southern Mexico, Bahamas, and Greater Antilles",Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",NA,NA,6455
California Gull,species,"Gulls, Terns, and Skimmers",161,8,6591,calgul,avibase-7FCE8A43,NA,NA,species,Larus californicus,"Lawrence, 1854","Larus californicus Lawrence, 1854",breeds on islands in lakes and rivers of central Northwest Territories to central Manitoba (central Canada) to northeastern South Dakota; eastern Washington to Montana and southward to Colorado and central California; winters on coast from southern British Columbia (southwestern Canada) to west-central Mexico,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",NA,NA,6522
Northern Mockingbird,species,"Catbirds, Mockingbirds, and Thrashers",86,8,28114,normoc,avibase-7EFF698D,NA,NA,species,Mimus polyglottos,"(Linnaeus, 1758)","Mimus polyglottos (Linnaeus, 1758)","open shrubby habitats and woodland including urban areas from southernmost Canada (rare) southwards across most USA (but rare in north-central USA) to southern Florida, southern Baja California and most Mexico (including western islands) southwards to northern Oaxaca, and the Greater Antilles eastwards to the Virgin Islands; introduced to Hawaii; range expanding northwards",Passeriformes,Mimidae (Mockingbirds and Thrashers),NA,NA,27870
Western Tanager,species,"Cardinals, Grosbeaks, and Allies",6,4,34439,westan,avibase-0ADA5F17,range,"range changed from ""western North America; winters to western Panama"" to ""breeds western North America; winters to western Panama"".",species,Piranga ludoviciana,"(Wilson, 1811)","Piranga ludoviciana (Wilson, 1811)",breeds western North America; winters to western Panama,Passeriformes,Cardinalidae (Cardinals and Allies),NA,NA,34148
Western Kingbird,species,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",42,7,17467,weskin,avibase-2281F1C7,NA,NA,species,Tyrannus verticalis,"Say, 1822","Tyrannus verticalis Say, 1822",breeds western North America; winters southern Mexico to Costa Rica and (?) Panama,Passeriformes,Tyrannidae (Tyrant Flycatchers),NA,NA,17298
Yellow-headed Blackbird,species,Blackbirds,7,4,33563,yehbla,avibase-3E2D0C9B,range,"range changed from ""southern Canada to northern Baja California and southern USA; winters to central Mexico"" to ""breeds southern Canada to northern Baja California and southern USA; winters to central Mexico"".",species,Xanthocephalus xanthocephalus,"(Bonaparte, 1826)","Xanthocephalus xanthocephalus (Bonaparte, 1826)",breeds southern Canada to northern Baja California and southern USA; winters to central Mexico,Passeriformes,Icteridae (Troupials and Allies),NA,NA,33285
Western Meadowlark,species,Blackbirds,1103,8,33565,wesmea,avibase-4A5B4883,NA,NA,species,Sturnella neglecta,"Audubon, 1844","Sturnella neglecta Audubon, 1844","breeds in varied native and exotic grasslands and prairies from southern Canada (central British Columbia to Saskatchewan) southwards across western and central USA to northern Baja California, and in central Mexico southwards to northern Jalisco and Guanajuato; largely resident but northern birds winter in the USA southwards to the Gulf coast and southwards to southern Baja California and central Mexico",Passeriformes,Icteridae (Troupials and Allies),NA,NA,33287
American Pipit,species,Wagtails and Pipits,698,8,31883,amepip,avibase-CDA2E56B,NA,NA,species,Anthus rubescens,"(Tunstall, 1771)","Anthus rubescens (Tunstall, 1771)","breeds northern Alaska including Aleutians through northeastern Canada and western Greenland, and southward through mountains of western North America to Arizona and New Mexico; winters to south-central Mexico and Florida",Passeriformes,Motacillidae (Wagtails and Pipits),NA,NA,31605
Savannah Sparrow,species,New World Sparrows,634,8,33244,savspa,avibase-31CE00C7,NA,NA,species,Passerculus sandwichensis,"(Gmelin, 1789)","Passerculus sandwichensis (Gmelin, 1789)","breeds in grassland and cultivated fields from northern Alaska (including the Aleutian Islands) and northern Canada (south of the Arctic Islands) southwards along the west coast to southern Baja California, and to northwestern Sinaloa (northwestern Mexico), in eastern USA southwards to northern Georgia, in montane north-central Mexico (Chihuahua to Michoacan), in the volcanic belt eastwards to western Veracruz, and locally in western Guatemala; winters from southern third of the USA throughout Mexico to western Honduras, and southern Florida, the Bahamas, and Cuba (scarce)",Passeriformes,Passerellidae (New World Sparrows),NA,NA,32962
White-faced Ibis,species,"Herons, Ibis, and Allies",6,4,7468,whfibi,avibase-FD2B0309,NA,NA,species,Plegadis chihi,"(Vieillot, 1817)","Plegadis chihi (Vieillot, 1817)",Great Basin of western USA to southwestern Brazil and central Argentina,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),NA,NA,7383
Purple Finch,species,"Finches, Euphonias, and Allies",7,5,32324,purfin,avibase-B4EE123D,NA,NA,species,Haemorhous purpureus,"(Gmelin, 1789)","Haemorhous purpureus (Gmelin, 1789)","breeds in moist coniferous and mixed forests and riparian woodland from southern Yukon and southern Northwest Territories eastwards to Newfoundland (southwestern to eastern Canada) southwards in western USA to southern California, and in eastern USA from northern Minnesota eastward to Maine, and southwards in the Appalachians to West Virginia; winters southwards to northern Baja California (northwestern Mexico) and throughout eastern USA sporadically to northern Florida",Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",NA,NA,32048
American Coot,species,"Rails, Gallinules, and Allies",1535,8,5500,y00475,avibase-4FB248BA,NA,NA,species,Fulica americana,"Gmelin, 1789","Fulica americana Gmelin, 1789","breeds southern Alaska across southern Canada, and southward through western and central USA to northwestern Costa Rica, the Caribbean (Greater and Lesser Antilles), and northern South America",Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",NA,NA,5443
Cinnamon Teal,species,Waterfowl,149,8,487,cintea,avibase-0E599E6C,NA,NA,species,Spatula cyanoptera,"(Vieillot, 1816)","Spatula cyanoptera (Vieillot, 1816)",western North America from British Colombia southward to northwestern Mexico; disjunctly western and southern South America,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,469
Pied-billed Grebe,species,Grebes,58,7,6855,pibgre,avibase-9A8E55D0,NA,NA,species,Podilymbus podiceps,"(Linnaeus, 1758)","Podilymbus podiceps (Linnaeus, 1758)","breeds northwestern Canada through USA, Caribbean, Mexico, Central and South America to central Chile and northern and west-central Argentina; winters to western and south-central USA",Podicipediformes,Podicipedidae (Grebes),NA,NA,6776
White-crowned Sparrow,species,New World Sparrows,2839,8,33187,whcspa,avibase-8601A467,NA,NA,species,Zonotrichia leucophrys,"(Forster, 1772)","Zonotrichia leucophrys (Forster, 1772)","breeds in boreal forest, tundra, alpine meadows, dense shrubbery and thickets from northern Alaska eastwards (south of Arctic islands) to Newfoundland (northeastern Canada), southwards through northern and western USA to southwestern California and northern New Mexico; winters along the Pacific coast from southernmost Alaska southwards to southern Baja California, and in western to eastern USA southwards to Michoacan and Mexico DF (central Mexico), and in eastern USA southwards to southern Florida",Passeriformes,Passerellidae (New World Sparrows),NA,NA,32905
Yellow-rumped Warbler,species,Wood-Warblers,1803,8,34159,yerwar,avibase-BC5A9498,NA,NA,species,Setophaga coronata,"(Linnaeus, 1766)","Setophaga coronata (Linnaeus, 1766)","breeds coniferous and humid forest from Alaska (USA) and northern Yukon (northwestern Canada) eastwards to northeastern Canada, and southwards through western and northeastern USA, and in mountains of western Mexico and Chiapas to central Guatemala; winters on the western and eastern coasts of USA and the interior (from Kansas and Ohio) southwards across Mexico to central Panama, and in the Greater Antilles eastwards to the Virgin Islands",Passeriformes,Parulidae (New World Warblers),NA,NA,33874
Redhead,species,Waterfowl,125,7,667,redhea,avibase-3072CC16,range,"range changed from ""Alaska to southern USA; winters to Guatemala and Greater Antilles"" to ""breeds Alaska to southern USA; winters to Guatemala and Greater Antilles"".",species,Aythya americana,"(Eyton, 1838)","Aythya americana (Eyton, 1838)",breeds Alaska to southern USA; winters to Guatemala and Greater Antilles,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,642
Violet-green Swallow,species,Martins and Swallows,15,5,24074,vigswa,avibase-75DC49AD,NA,NA,species,Tachycineta thalassina,"(Swainson, 1827)","Tachycineta thalassina (Swainson, 1827)","breeds open deciduous to mixed coniferous forest, woodland with rock crevices and banks, and wooded neighborhoods, from north-central Alaska eastwards to southwestern Alberta (south-central Canada) and western North Dakota (north-central USA), southwards to southern Baja California, and central Mexico to the volcanic belt; winters near the coast in southwestern USA and most of Mexico southwards to Costa Rica",Passeriformes,Hirundinidae (Swallows),NA,NA,23844
Blue-gray Gnatcatcher,species,Gnatcatchers,349,8,27123,buggna,avibase-A15C5071,NA,NA,species,Polioptila caerulea,"(Linnaeus, 1766)","Polioptila caerulea (Linnaeus, 1766)","breeds in varied woodland and shrubby habitats, mature deciduous, swamp, and gallery forest from south-central Washington (very local) southwards to southern Baja California (northwestern Mexico) and eastwards to southern Colorado, in Mexico (including the Yucatan Peninsula and Cozumel) to western Guatemala and Belize, and from southern Ontario and southwestern Quebec (southeastern Canada) southwards in eastern USA to central Florida and the Bahamas; winters in southern USA to the Pacific coast of Mexico to Honduras, southern Florida, and Cuba",Passeriformes,Polioptilidae (Gnatcatchers),NA,NA,26874
Ruby-crowned Kinglet,species,Kinglets,153,8,26844,ruckin,avibase-B60B1166,NA,NA,species,Corthylio calendula,"(Linnaeus, 1766)","Corthylio calendula (Linnaeus, 1766)","breeds in coniferous, mixed, and deciduous forest and woodland from northern Alaska and northern Yukon (except the north slope) eastwards to northern Labrador and Newfoundland (northeastern Canada), southwards in western USA to southern California and New Mexico, eastwards to western South Dakota and Nebraska, and northeastern USA (northern Minnesota to northern New York and Maine); winters in western and southeastern USA, southwards to the Gulf of Mexico coast and southern Florida, and in Mexico southwards to southern Baja California and Oaxaca; formerly Guadalupe Island",Passeriformes,Regulidae (Kinglets),NA,NA,26595
Burrowing Owl,species,Owls,21,4,9133,burowl,avibase-B9EE9676,NA,NA,species,Athene cunicularia,"(Molina, 1782)","Athene cunicularia (Molina, 1782)","various grassland, steppe and arid habitats from south-central Canada southward across western and west-central US to southern Baja California, southern Florida and southward across Mexico to (more locally and seasonally) western Costa Rica; Bahamas, Hispaniola and locally in Cuba; in South America in the lowlands of northern Colombia and western Venezuela, the Río Cauca and Río Magdalena valleys of central Colombia and central Andean valleys of Ecuador and northern Peru; coastal southwestern Ecuador southward to southern Chile and in the Andes southward to southern Argentina; also in the llanos and locally across the Amazon River basin (mostly along river islands and sandbanks) from central Venezuela and western Guyana, and in interior and eastern Brazil, southward to southern Argentina, in the provinces of Rio Negro and Chubut; also in Aruba and (extinct) in Guadaloupe, Nevis and Antigua",Strigiformes,Strigidae (Owls),NA,NA,9032
American Goldfinch,species,"Finches, Euphonias, and Allies",23,5,32617,amegfi,avibase-C9ABA616,NA,NA,species,Spinus tristis,"(Linnaeus, 1758)","Spinus tristis (Linnaeus, 1758)","breeds in weedy and grassy fields, orchards, bushy areas, and gardens from southern British Columbia eastwards to southwestern Newfoundland (southwestern to southeastern Canada) southwards through southern California and to northern Louisiana and Georgia; winters southward to northern Baja California and northern (northwestern Mexico), Veracruz (eastern Mexico), and southern Florida",Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",NA,NA,32338
Sora,species,"Rails, Gallinules, and Allies",59,8,5455,sora,avibase-2CC21529,range,"range changed from ""southern Alaska to northern Baja California and southern USA; winters to West Indies and northern South America"" to ""breeds southern Alaska to northern Baja California and southern USA; winters to West Indies and northern South America"".",species,Porzana carolina,"(Linnaeus, 1758)","Porzana carolina (Linnaeus, 1758)",breeds southern Alaska to northern Baja California and southern USA; winters to West Indies and northern South America,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",NA,NA,5398
Marsh Wren,species,Wrens,50,7,27329,marwre,avibase-787E0536,NA,NA,species,Cistothorus palustris,"(Wilson, 1810)","Cistothorus palustris (Wilson, 1810)","breeds in coastal to freshwater marshes disjunctly from southwestern and northeastern British Columbia eastward to southwestern Quebec, and southward to southern California, northern Kansas, and along Atlantic US coast southward to southeastern Georgia, along Gulf coast, and Hidalgo southwards to Puebla (south-central Mexico); largely resident in coastal USA, more northerly interior populations winter southwards to southern Baja California, Oaxaca (southern Mexico), and southern Florida",Passeriformes,Troglodytidae (Wrens),NA,NA,27088
Green-winged Teal,species,Waterfowl,66,7,612,gnwtea,avibase-BC6C3CCE,NA,NA,species,Anas crecca,"Linnaeus, 1758","Anas crecca Linnaeus, 1758","breeds Holarctic; winters to Central America and the Caribbean, eastern Africa, and southern Asia",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,588
Ring-necked Duck,species,Waterfowl,19,4,673,rinduc,avibase-0783A7EA,NA,NA,species,Aythya collaris,"(Donovan, 1809)","Aythya collaris (Donovan, 1809)",breeds Alaska to southern USA; winters to Panama and southern Lesser Antilles,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,648
Long-billed Dowitcher,species,Shorebirds,38,5,6061,lobdow,avibase-CB343E43,range,"range changed from ""breeds Siberia and Alaska; winters southern USA to Panama"" to ""breeds wet meadows from Lena River through northeastern Siberia, St. Lawrence Island (Bering Sea; rare), western Alaska and northern Northwest Territories (north-central Canada); winters inland from the southern US through Mexico, along the Pacific coast from the Pacific Northwest south to northwestern Costa Rica, and along the Atlantic and Gulf coasts from the mid-Atlantic south to the Yucatan Peninsula"".",species,Limnodromus scolopaceus,"(Say, 1822)","Limnodromus scolopaceus (Say, 1822)","breeds wet meadows from Lena River through northeastern Siberia, St. Lawrence Island (Bering Sea; rare), western Alaska and northern Northwest Territories (north-central Canada); winters inland from the southern US through Mexico, along the Pacific coast from the Pacific Northwest south to northwestern Costa Rica, and along the Atlantic and Gulf coasts from the mid-Atlantic south to the Yucatan Peninsula",Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,6001
Ruddy Duck,species,Waterfowl,147,8,778,rudduc,avibase-675EEA7F,NA,NA,species,Oxyura jamaicensis,"(Gmelin, 1789)","Oxyura jamaicensis (Gmelin, 1789)",interior northwestern North America (southwestern Canada to Mexico); West Indies,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,753
Osprey,species,"Vultures, Hawks, and Allies",5,4,7831,pandio1,NA,NA,NA,family,Pandionidae,NA,NA,NA,Accipitriformes,Pandionidae (Osprey),NA,NA,7736
Osprey,species,"Vultures, Hawks, and Allies",5,4,7832,osprey,avibase-1327AC55,NA,NA,species,Pandion haliaetus,"(Linnaeus, 1758)","Pandion haliaetus (Linnaeus, 1758)","breeds Palearctic, Sulawesi and Java to New Guinea, coastal Australia (except Tasmania), New Caledonia, Canada to southern USA, and Caribbean; northern populations winter to South Africa, India, Philippines, and South America southward to Peru and Brazil",Accipitriformes,Pandionidae (Osprey),NA,NA,7737
Wilson's Snipe,species,Shorebirds,21,6,6104,wilsni1,avibase-F5C8516D,range,"range changed from ""Aleutian Islands and Alaska to southern USA; winters to northern South America"" to ""breeds central Aleutian Islands to eastern Canada and northern tier of continental USA; winters south of breeding range to northern South America"".",species,Gallinago delicata,"(Ord, 1825)","Gallinago delicata (Ord, 1825)",breeds central Aleutian Islands to eastern Canada and northern tier of continental USA; winters south of breeding range to northern South America,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,6042
Golden-crowned Sparrow,species,New World Sparrows,15,6,33196,gocspa,avibase-BD61BDEC,NA,NA,species,Zonotrichia atricapilla,"(Gmelin, 1789)","Zonotrichia atricapilla (Gmelin, 1789)",breeds Alaska and western Canada; winters to Sonora and Baja California,Passeriformes,Passerellidae (New World Sparrows),NA,NA,32914
American Wigeon,species,Waterfowl,184,7,517,amewig,avibase-D201EB72,NA,NA,species,Mareca americana,"(Gmelin, 1789)","Mareca americana (Gmelin, 1789)",breeds Alaska to southern USA; winters through Central America and the Caribbean,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,497
Greater White-fronted Goose,species,Waterfowl,173,8,287,gwfgoo,avibase-466E9077,NA,NA,species,Anser albifrons,"(Scopoli, 1769)","Anser albifrons (Scopoli, 1769)","Holarctic, breeding in southwestern Greenland, northern Russia to Chukotskiy Peninsula, and northern Alaska to west of Hudson Bay; winters to southern Europe, Middle East, eastern China, Korean Peninsula, Japan, and southwestern and southeastern USA and northern Mexico",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,276
Hooded Merganser,species,Waterfowl,26,8,754,hoomer,avibase-60E6081E,range,"range changed from ""breeds northern North America; winters to Mexico and West Indies"" to ""breeds southeastern Alaska to northwestern USA, southern Manitoba to Nova Scotia (central and southeastern Canada) southward to eastern Texas and northern Florida; winters to southern California, southern Texas, and southern Florida"".",species,Lophodytes cucullatus,"(Linnaeus, 1758)","Lophodytes cucullatus (Linnaeus, 1758)","breeds southeastern Alaska to northwestern USA, southern Manitoba to Nova Scotia (central and southeastern Canada) southward to eastern Texas and northern Florida; winters to southern California, southern Texas, and southern Florida",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,729
