survey_id,date,p01m,valid
1,2017-09-01,0,9/1/2017 0:53
1,2017-09-01,0,9/1/2017 1:53
1,2017-09-01,0,9/1/2017 2:53
1,2017-09-01,0,9/1/2017 3:53
1,2017-09-01,0,9/1/2017 4:53
1,2017-09-01,0,9/1/2017 5:53
1,2017-09-01,0,9/1/2017 6:53
1,2017-09-01,0,9/1/2017 7:53
1,2017-09-01,0,9/1/2017 8:53
1,2017-09-01,0,9/1/2017 9:53
1,2017-09-01,0,9/1/2017 10:53
1,2017-09-01,0,9/1/2017 11:53
1,2017-09-01,0,9/1/2017 12:53
1,2017-09-01,0,9/1/2017 13:53
1,2017-09-01,0,9/1/2017 14:53
1,2017-09-01,0,9/1/2017 15:53
1,2017-09-01,0,9/1/2017 16:53
1,2017-09-01,0,9/1/2017 17:53
1,2017-09-01,0,9/1/2017 18:53
1,2017-09-01,0,9/1/2017 19:53
1,2017-09-01,0,9/1/2017 20:53
1,2017-09-01,0,9/1/2017 21:53
1,2017-09-01,0,9/1/2017 22:53
1,2017-09-01,0,9/1/2017 23:53
1,2017-09-02,0,9/2/2017 0:53
1,2017-09-02,0,9/2/2017 1:53
1,2017-09-02,0,9/2/2017 2:53
1,2017-09-02,0,9/2/2017 3:53
1,2017-09-02,0,9/2/2017 4:53
1,2017-09-02,0,9/2/2017 5:53
1,2017-09-02,0,9/2/2017 6:53
1,2017-09-02,0,9/2/2017 7:53
1,2017-09-02,0,9/2/2017 8:53
1,2017-09-02,0,9/2/2017 9:53
1,2017-09-02,0,9/2/2017 10:53
1,2017-09-02,0,9/2/2017 11:53
1,2017-09-02,0,9/2/2017 12:53
1,2017-09-02,0,9/2/2017 13:53
1,2017-09-02,0,9/2/2017 14:53
1,2017-09-02,0,9/2/2017 15:53
1,2017-09-02,0,9/2/2017 16:53
1,2017-09-02,0,9/2/2017 17:53
1,2017-09-02,0,9/2/2017 18:53
1,2017-09-02,0,9/2/2017 19:53
1,2017-09-02,0,9/2/2017 20:53
1,2017-09-02,0,9/2/2017 21:53
1,2017-09-02,0,9/2/2017 22:53
1,2017-09-02,0,9/2/2017 23:53
1,2017-09-03,0,9/3/2017 0:53
1,2017-09-03,0,9/3/2017 1:53
1,2017-09-03,0,9/3/2017 2:53
1,2017-09-03,0,9/3/2017 3:53
1,2017-09-03,0,9/3/2017 4:53
1,2017-09-03,0,9/3/2017 5:53
1,2017-09-03,0,9/3/2017 6:53
1,2017-09-03,0,9/3/2017 7:53
1,2017-09-03,0,9/3/2017 8:53
1,2017-09-03,0,9/3/2017 9:53
1,2017-09-03,0,9/3/2017 10:53
1,2017-09-03,0,9/3/2017 11:53
1,2017-09-03,0,9/3/2017 12:53
1,2017-09-03,0,9/3/2017 13:53
1,2017-09-03,0,9/3/2017 14:53
1,2017-09-03,1e-4,9/3/2017 15:03
1,2017-09-03,1e-4,9/3/2017 15:12
1,2017-09-03,0,9/3/2017 15:28
1,2017-09-03,0,9/3/2017 15:44
1,2017-09-03,0,9/3/2017 15:53
1,2017-09-03,0,9/3/2017 16:53
1,2017-09-03,0,9/3/2017 17:53
1,2017-09-03,0,9/3/2017 18:53
1,2017-09-03,0,9/3/2017 19:53
1,2017-09-03,0,9/3/2017 20:53
1,2017-09-03,0,9/3/2017 21:53
1,2017-09-03,0,9/3/2017 22:53
1,2017-09-03,0,9/3/2017 23:53
1,2017-09-04,0,9/4/2017 0:53
1,2017-09-04,0,9/4/2017 1:53
1,2017-09-04,0,9/4/2017 2:53
1,2017-09-04,0,9/4/2017 3:48
1,2017-09-04,0,9/4/2017 3:53
1,2017-09-04,0,9/4/2017 4:04
1,2017-09-04,0,9/4/2017 4:24
1,2017-09-04,1e-4,9/4/2017 4:53
1,2017-09-04,1e-4,9/4/2017 5:53
1,2017-09-04,0.25,9/4/2017 6:53
1,2017-09-04,0,9/4/2017 7:53
1,2017-09-04,0,9/4/2017 8:53
1,2017-09-04,0,9/4/2017 9:53
1,2017-09-04,0,9/4/2017 10:53
1,2017-09-04,0,9/4/2017 11:00
1,2017-09-04,0,9/4/2017 11:53
1,2017-09-04,0,9/4/2017 12:53
1,2017-09-04,0,9/4/2017 13:53
1,2017-09-04,0,9/4/2017 14:53
1,2017-09-04,0,9/4/2017 15:53
1,2017-09-04,0,9/4/2017 16:53
1,2017-09-04,0,9/4/2017 17:53
1,2017-09-04,0,9/4/2017 18:53
1,2017-09-04,0,9/4/2017 19:53
1,2017-09-04,0,9/4/2017 20:53
1,2017-09-04,0,9/4/2017 21:53
1,2017-09-04,0,9/4/2017 22:53
1,2017-09-04,0,9/4/2017 23:53
1,2017-09-05,0,9/5/2017 0:53
1,2017-09-05,0,9/5/2017 1:53
1,2017-09-05,0,9/5/2017 2:53
1,2017-09-05,0,9/5/2017 3:53
1,2017-09-05,0,9/5/2017 4:53
1,2017-09-05,0,9/5/2017 5:16
1,2017-09-05,0,9/5/2017 5:43
1,2017-09-05,0,9/5/2017 5:53
1,2017-09-05,0,9/5/2017 6:36
1,2017-09-05,0,9/5/2017 6:53
1,2017-09-05,0,9/5/2017 7:53
1,2017-09-05,0,9/5/2017 8:53
1,2017-09-05,0,9/5/2017 9:53
1,2017-09-05,0,9/5/2017 10:44
1,2017-09-05,0,9/5/2017 10:46
1,2017-09-05,0,9/5/2017 10:53
1,2017-09-05,0,9/5/2017 11:53
1,2017-09-05,0,9/5/2017 12:53
1,2017-09-05,0,9/5/2017 13:53
1,2017-09-05,0,9/5/2017 14:53
1,2017-09-05,0,9/5/2017 15:53
1,2017-09-05,0,9/5/2017 16:53
1,2017-09-05,0,9/5/2017 17:53
1,2017-09-05,0,9/5/2017 18:53
1,2017-09-05,0,9/5/2017 19:53
1,2017-09-05,0,9/5/2017 20:53
1,2017-09-05,0,9/5/2017 21:53
1,2017-09-05,0,9/5/2017 22:53
1,2017-09-05,0,9/5/2017 23:53
1,2017-09-06,0,9/6/2017 0:53
1,2017-09-06,0,9/6/2017 1:53
1,2017-09-06,0,9/6/2017 2:53
1,2017-09-06,0,9/6/2017 3:53
1,2017-09-06,0,9/6/2017 4:28
1,2017-09-06,0,9/6/2017 4:36
1,2017-09-06,0,9/6/2017 4:53
1,2017-09-06,0,9/6/2017 5:36
1,2017-09-06,0,9/6/2017 5:53
1,2017-09-06,0,9/6/2017 6:53
1,2017-09-06,0,9/6/2017 7:53
1,2017-09-06,0,9/6/2017 8:53
1,2017-09-06,0,9/6/2017 9:53
1,2017-09-06,0,9/6/2017 10:27
1,2017-09-06,0,9/6/2017 10:53
1,2017-09-06,0,9/6/2017 11:53
1,2017-09-06,0,9/6/2017 12:53
1,2017-09-06,0,9/6/2017 13:53
1,2017-09-06,0,9/6/2017 14:53
1,2017-09-06,0,9/6/2017 15:53
1,2017-09-06,0,9/6/2017 16:53
1,2017-09-06,0,9/6/2017 17:53
1,2017-09-06,0,9/6/2017 18:53
1,2017-09-06,0,9/6/2017 19:53
1,2017-09-06,0,9/6/2017 20:53
1,2017-09-06,0,9/6/2017 21:53
1,2017-09-06,0,9/6/2017 22:53
1,2017-09-06,0,9/6/2017 23:53
1,2017-09-07,0,9/7/2017 0:53
1,2017-09-07,0,9/7/2017 1:53
1,2017-09-07,0,9/7/2017 2:53
1,2017-09-07,0,9/7/2017 3:53
1,2017-09-07,0,9/7/2017 4:53
1,2017-09-07,0,9/7/2017 5:53
1,2017-09-07,0,9/7/2017 6:53
1,2017-09-07,0,9/7/2017 7:53
1,2017-09-07,0,9/7/2017 8:53
1,2017-09-07,0,9/7/2017 9:53
1,2017-09-07,0,9/7/2017 10:53
1,2017-09-07,0,9/7/2017 11:53
1,2017-09-07,0,9/7/2017 12:53
1,2017-09-07,0,9/7/2017 13:53
1,2017-09-07,0,9/7/2017 14:53
1,2017-09-07,0,9/7/2017 15:53
1,2017-09-07,0,9/7/2017 16:53
1,2017-09-07,0,9/7/2017 17:53
1,2017-09-07,0,9/7/2017 18:53
1,2017-09-07,0,9/7/2017 19:53
1,2017-09-07,0,9/7/2017 20:53
1,2017-09-07,0,9/7/2017 21:53
1,2017-09-07,0,9/7/2017 22:53
1,2017-09-07,0,9/7/2017 23:53
1,2017-09-08,0,9/8/2017 0:53
1,2017-09-08,0,9/8/2017 1:53
1,2017-09-08,0,9/8/2017 2:53
1,2017-09-08,0,9/8/2017 3:53
1,2017-09-08,0,9/8/2017 4:53
1,2017-09-08,0,9/8/2017 5:53
1,2017-09-08,0,9/8/2017 6:53
1,2017-09-08,0,9/8/2017 7:53
1,2017-09-08,0,9/8/2017 8:53
1,2017-09-08,0,9/8/2017 9:53
1,2017-09-08,0,9/8/2017 10:53
1,2017-09-08,0,9/8/2017 11:53
1,2017-09-08,0,9/8/2017 12:53
1,2017-09-08,0,9/8/2017 13:53
1,2017-09-08,0,9/8/2017 14:53
1,2017-09-08,0,9/8/2017 15:53
1,2017-09-08,0,9/8/2017 16:53
1,2017-09-08,0,9/8/2017 17:53
1,2017-09-08,0,9/8/2017 18:53
1,2017-09-08,0,9/8/2017 19:53
1,2017-09-08,0,9/8/2017 20:53
1,2017-09-08,0,9/8/2017 21:53
1,2017-09-08,0,9/8/2017 22:53
1,2017-09-08,0,9/8/2017 23:53
1,2017-09-09,0,9/9/2017 0:53
1,2017-09-09,0,9/9/2017 1:53
1,2017-09-09,0,9/9/2017 2:53
1,2017-09-09,0,9/9/2017 3:28
1,2017-09-09,0,9/9/2017 3:38
1,2017-09-09,0,9/9/2017 3:53
1,2017-09-09,0,9/9/2017 4:32
1,2017-09-09,0,9/9/2017 4:53
1,2017-09-09,0,9/9/2017 5:31
1,2017-09-09,0,9/9/2017 5:39
1,2017-09-09,0,9/9/2017 5:53
1,2017-09-09,0,9/9/2017 6:53
1,2017-09-09,0,9/9/2017 7:53
1,2017-09-09,0,9/9/2017 8:53
1,2017-09-09,0,9/9/2017 9:53
1,2017-09-09,0,9/9/2017 10:53
1,2017-09-09,0,9/9/2017 11:53
1,2017-09-09,0,9/9/2017 12:53
1,2017-09-09,0,9/9/2017 13:53
1,2017-09-09,0,9/9/2017 14:53
1,2017-09-09,0,9/9/2017 15:53
1,2017-09-09,0,9/9/2017 16:53
1,2017-09-09,0,9/9/2017 17:53
1,2017-09-09,0,9/9/2017 18:53
1,2017-09-09,0,9/9/2017 19:53
1,2017-09-09,0,9/9/2017 20:53
