species,e_bird_group,general_type
Golden-crowned Sparrow,New World Sparrows,Insectivores - Terrestrial
Savannah Sparrow,New World Sparrows,Insectivores - Terrestrial
Song Sparrow,New World Sparrows,Insectivores - Terrestrial
Lincoln's Sparrow,New World Sparrows,Insectivores - Terrestrial
California Towhee,New World Sparrows,Omnivores
Spotted Towhee,New World Sparrows,Omnivores
Yellow-headed Blackbird,Blackbirds,Insectivores - Terrestrial
Western Meadowlark,Blackbirds,Insectivores - Terrestrial
Hooded Oriole,Blackbirds,Insectivores - Terrestrial
Bullock's Oriole,Blackbirds,Insectivores - Terrestrial
Red-winged Blackbird,Blackbirds,Insectivores - Terrestrial
Brown-headed Cowbird,Blackbirds,Seed & Fruit Eaters
Brewer's Blackbird,Blackbirds,Omnivores
Great-tailed Grackle,Blackbirds,Insectivores - Terrestrial
Orange-crowned Warbler,Wood-Warblers,Warblers
Common Yellowthroat,Wood-Warblers,Warblers
Northern Yellow Warbler,Wood-Warblers,Warblers
Yellow-rumped Warbler,Wood-Warblers,Warblers
Townsend's Warbler,Wood-Warblers,NA
Wilson's Warbler,Wood-Warblers,NA
Western Tanager,"Cardinals, Grosbeaks, and Allies",Insectivores - Terrestrial
Black-headed Grosbeak,"Cardinals, Grosbeaks, and Allies",Seed & Fruit Eaters
Blue Grosbeak,"Cardinals, Grosbeaks, and Allies",Seed & Fruit Eaters
Lazuli Bunting,"Cardinals, Grosbeaks, and Allies",NA
Rock Pigeon,Pigeons and Doves,Seed & Fruit Eaters
Western Snowy Plover,NA,Shorebirds
Unknown,NA,NA
Savannah Sparrow (Belding's),New World Sparrows,Insectivores - Terrestrial
Swinhoe's White-eye,NA,NA
Yellow-crowned Night Heron,NA,NA
American Barn Owl,NA,NA
Falcon sp.,NA,NA
Peep sp.,NA,Shorebirds
Hummingbird sp.,NA,Hummingbirds
Western Snowy Plover,Shorebirds,Shorebirds
Cackling Goose (Aleutian),Waterfowl,Waterfowl & Friends
Accipiter sp.,"Vultures, Hawks, and Allies",Raptors
Peep sp.,Shorebirds,Shorebirds
Dowitcher sp.,Shorebirds,Shorebirds
Swallow sp.,Martins and Swallows,Insectivores - Aerial
Swan sp.,Waterfowl,Waterfowl & Friends
Kingbird sp.,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",Insectivores - Aerial
Goldfinch sp.,"Finches, Euphonias, and Allies",Seed & Fruit Eaters
Hummingbird sp.,Hummingbirds,Hummingbirds
Phoebe sp.,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",Insectivores - Aerial
Sparrow sp.,New World Sparrows,Omnivores
Sandpiper sp.,Shorebirds,Shorebirds
Hawk sp.,"Vultures, Hawks, and Allies",Raptors
