station,valid,p01m
SBA,9/8/2017 1:53,0
SBA,9/8/2017 2:53,0
SBA,9/8/2017 3:53,0
SBA,9/8/2017 4:53,0
SBA,9/8/2017 5:53,0
SBA,9/8/2017 6:53,0
SBA,9/8/2017 7:53,0
SBA,9/8/2017 8:53,0
SBA,9/8/2017 9:53,0
SBA,9/8/2017 10:53,0
SBA,9/8/2017 11:53,0
SBA,9/8/2017 12:53,0
SBA,9/8/2017 13:53,0
SBA,9/8/2017 14:53,0
SBA,9/8/2017 15:53,0
SBA,9/8/2017 16:53,0
SBA,9/8/2017 17:53,0
SBA,9/8/2017 18:53,0
SBA,9/8/2017 19:53,0
SBA,9/8/2017 20:53,0
SBA,9/8/2017 21:53,0
SBA,9/8/2017 22:53,0
SBA,9/8/2017 23:53,0
SBA,9/9/2017 0:53,0
SBA,9/9/2017 1:53,0
SBA,9/9/2017 2:53,0
SBA,9/9/2017 3:28,0
SBA,9/9/2017 3:38,0
SBA,9/9/2017 3:53,0
SBA,9/9/2017 4:32,0
SBA,9/9/2017 4:53,0
SBA,9/9/2017 5:31,0
SBA,9/9/2017 5:39,0
SBA,9/9/2017 5:53,0
SBA,9/9/2017 6:53,0
SBA,9/9/2017 7:53,0
SBA,9/9/2017 8:53,0
SBA,9/9/2017 9:53,0
SBA,9/9/2017 10:53,0
SBA,9/9/2017 11:53,0
SBA,9/9/2017 12:53,0
SBA,9/9/2017 13:53,0
SBA,9/9/2017 14:53,0
SBA,9/9/2017 15:53,0
SBA,9/9/2017 16:53,0
SBA,9/9/2017 17:53,0
SBA,9/9/2017 18:53,0
SBA,9/9/2017 19:53,0
SBA,9/9/2017 20:53,0
SBA,9/9/2017 21:53,0
SBA,9/9/2017 22:53,0
SBA,9/9/2017 23:53,0
SBA,9/10/2017 0:53,0
SBA,9/10/2017 1:53,0
SBA,9/10/2017 2:53,0
SBA,9/10/2017 3:53,0
SBA,9/10/2017 4:53,0
SBA,9/10/2017 5:53,0
SBA,9/10/2017 6:23,0
SBA,9/10/2017 6:53,0
SBA,9/10/2017 7:53,0
SBA,9/10/2017 8:53,0
SBA,9/10/2017 9:08,0
SBA,9/10/2017 9:53,0
SBA,9/10/2017 10:53,0
SBA,9/10/2017 11:53,0
SBA,9/10/2017 12:53,0
SBA,9/10/2017 13:53,0
SBA,9/10/2017 14:53,0
SBA,9/10/2017 15:53,0
SBA,9/10/2017 16:53,0
SBA,9/10/2017 17:53,0
SBA,9/10/2017 18:53,0.0001
SBA,9/10/2017 19:19,0
SBA,9/10/2017 19:53,0
SBA,9/10/2017 20:53,0
SBA,9/10/2017 21:53,2.29
SBA,9/10/2017 22:53,0.51
SBA,9/10/2017 23:06,0.25
SBA,9/10/2017 23:15,0.51
SBA,9/10/2017 23:32,0.51
SBA,9/10/2017 23:53,0.51
SBA,9/11/2017 0:53,0
SBA,9/11/2017 1:53,0
SBA,9/11/2017 2:44,0
SBA,9/11/2017 2:53,0
SBA,9/11/2017 3:35,0.25
SBA,9/11/2017 3:53,0.51
SBA,9/11/2017 4:18,0
SBA,9/11/2017 4:53,0
SBA,9/11/2017 5:53,0
SBA,9/11/2017 6:53,0
SBA,9/11/2017 7:53,0
SBA,9/11/2017 8:53,0
SBA,9/11/2017 9:53,0
SBA,9/11/2017 10:53,0
SBA,9/11/2017 11:53,0
SBA,9/11/2017 12:53,0
SBA,9/11/2017 13:53,0
SBA,9/11/2017 14:53,0
SBA,9/11/2017 15:53,0
SBA,9/11/2017 16:53,0
SBA,9/11/2017 17:53,0
SBA,9/11/2017 18:53,0
SBA,9/11/2017 19:53,0
SBA,9/11/2017 20:53,0
SBA,9/11/2017 21:53,0
SBA,9/11/2017 22:53,0
SBA,9/11/2017 23:53,0
SBA,9/12/2017 0:53,0
SBA,9/12/2017 1:21,0
SBA,9/12/2017 1:31,0
SBA,9/12/2017 1:53,0
SBA,9/12/2017 2:21,0
SBA,9/12/2017 2:53,0
SBA,9/12/2017 3:53,0
SBA,9/12/2017 4:13,0
SBA,9/12/2017 4:53,0
SBA,9/12/2017 5:53,0
SBA,9/12/2017 6:53,0
SBA,9/12/2017 7:53,0
SBA,9/12/2017 8:53,0
SBA,9/12/2017 9:53,0
SBA,9/12/2017 10:00,0
SBA,9/12/2017 10:53,0
SBA,9/12/2017 11:26,0
SBA,9/12/2017 11:53,0
SBA,9/12/2017 12:53,0
SBA,9/12/2017 13:53,0
SBA,9/12/2017 14:53,0
SBA,9/12/2017 15:53,0
SBA,9/12/2017 16:53,0
SBA,9/12/2017 17:53,0
SBA,9/12/2017 18:53,0
SBA,9/12/2017 19:53,0
SBA,9/12/2017 20:53,0
SBA,9/12/2017 21:53,0
SBA,9/12/2017 22:53,0
SBA,9/12/2017 23:53,0
SBA,9/13/2017 0:53,0
SBA,9/13/2017 1:53,0
SBA,9/13/2017 2:53,0
SBA,9/13/2017 3:53,0
SBA,9/13/2017 4:53,0
SBA,9/13/2017 5:00,0
SBA,9/13/2017 5:53,0
SBA,9/13/2017 6:53,0
SBA,9/13/2017 7:53,0
SBA,9/13/2017 8:31,0
SBA,9/13/2017 8:53,0
SBA,9/13/2017 9:53,0
SBA,9/13/2017 10:53,0
SBA,9/13/2017 11:53,0
SBA,9/13/2017 12:53,0
SBA,9/13/2017 13:53,0
SBA,9/13/2017 14:53,0
SBA,9/13/2017 15:53,0
SBA,9/13/2017 16:53,0
SBA,9/13/2017 17:53,0
SBA,9/13/2017 18:53,0
SBA,9/13/2017 19:53,0
SBA,9/13/2017 20:53,0
SBA,9/13/2017 21:53,0
SBA,9/13/2017 22:53,0
SBA,9/13/2017 23:53,0
SBA,9/14/2017 0:53,0
SBA,9/14/2017 1:53,0
SBA,9/14/2017 2:53,0
SBA,9/14/2017 3:53,0
SBA,9/14/2017 4:53,0
SBA,9/14/2017 5:13,0
SBA,9/14/2017 5:53,0
SBA,9/14/2017 6:53,0
SBA,9/14/2017 7:53,0
SBA,9/14/2017 8:53,0
SBA,9/14/2017 9:53,0
SBA,9/14/2017 10:53,0
SBA,9/14/2017 11:53,0
SBA,9/14/2017 12:53,0
SBA,9/14/2017 13:53,0
SBA,9/14/2017 14:53,0
SBA,9/14/2017 15:53,0
SBA,9/14/2017 16:53,0
SBA,9/14/2017 17:53,0
SBA,9/14/2017 18:53,0
SBA,9/14/2017 19:53,0
SBA,9/14/2017 20:53,0
SBA,9/14/2017 21:53,0
SBA,9/14/2017 22:53,0
SBA,9/14/2017 23:53,0
SBA,9/15/2017 0:53,0
SBA,9/15/2017 1:53,0
SBA,9/15/2017 2:53,0
SBA,9/15/2017 3:53,0
SBA,9/15/2017 4:53,0
SBA,9/15/2017 5:53,0
SBA,9/15/2017 6:53,0
SBA,9/15/2017 7:53,0
SBA,9/15/2017 8:53,0
SBA,9/15/2017 9:53,0
SBA,9/15/2017 10:53,0
SBA,9/15/2017 11:53,0
SBA,9/15/2017 12:53,0
SBA,9/15/2017 13:53,0
SBA,9/15/2017 14:53,0
SBA,9/15/2017 15:53,0
SBA,9/15/2017 16:53,0
SBA,9/15/2017 17:53,0
SBA,9/15/2017 18:53,0
SBA,9/15/2017 19:53,0
SBA,9/15/2017 20:53,0
SBA,9/15/2017 21:53,0
SBA,9/15/2017 22:53,0
SBA,9/15/2017 23:53,0
SBA,9/16/2017 0:53,0
SBA,9/16/2017 1:53,0
SBA,9/16/2017 2:53,0
SBA,9/16/2017 3:53,0
SBA,9/16/2017 4:53,0
SBA,9/16/2017 5:53,0
SBA,9/16/2017 6:53,0
SBA,9/16/2017 7:53,0
SBA,9/16/2017 8:53,0
