OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),CreationDate,Creator,EditDate,Editor,x,y
1,Savannah Sparrow (Belding's),1,No,Vegetation - Shrub,,,,,"Darwin, Glenn, Jeremiah",6:30,,57,100,,,,,,,,,,,,a2765b36-4291-4152-ac7d-ffd168cf4523,,,,,,,,,,,,,,,,,,,,,,,6/12/2024 1:45:13 PM,ccber_user,6/12/2024 4:02:58 PM,ccber_user,-119.873802119533,34.4176305243819
2,Black-necked Stilt,1,No,Air,,,,,,,,,,,,,,,,,,,,,e2844232-e497-42ff-b96c-51a552d1269d,,,,,,,,,,,,,,,,,,,,,,,6/12/2024 1:45:56 PM,ccber_user,6/12/2024 1:45:56 PM,ccber_user,-119.874523909575,34.4181976569568
3,Northern Rough-winged Swallow,11,No,Fence,,,,,,,,,,,,,,,,,,,,,594646ab-c366-4e78-aae1-2f189fb9b31b,,,,,,,,,,,,,,,,,,,,,,,6/12/2024 1:46:27 PM,ccber_user,6/12/2024 1:46:27 PM,ccber_user,-119.875659898422,34.4175226525157
4,California Towhee,1,No,Bare ground,,,,,,,,,,,,,,,,,,,,,ca14e210-7a48-480c-a65f-42ed3abe5b45,,,,,,,,,,,,,,,,,,,,,,,6/12/2024 1:49:07 PM,ccber_user,6/12/2024 1:49:07 PM,ccber_user,-119.874608264974,34.418427296439
5,Savannah Sparrow (Belding's),1,No,Vegetation - Herbaceous,,,,,,,,,,,,,,,,,,,,,75f185df-780c-42c9-9b63-d65f5094062b,,,,,,,,,,,,,,,,,,,,,,,6/12/2024 1:49:48 PM,ccber_user,6/12/2024 1:49:48 PM,ccber_user,-119.875460256833,34.4180468833586
6,Rock Pigeon (Feral Pigeon),5,No,Flyover,,,,,,,,,,,,,,,,,,,,,d9f804e8-1b70-41c5-94b7-2049276c995e,,,,,,,,,,,,,,,,,,,,,,,6/12/2024 1:51:10 PM,ccber_user,6/12/2024 1:51:10 PM,ccber_user,-119.876890059457,34.4183928598941
7,California Towhee,1,No,Bare ground,,,,,,,,,,,,,,,,,,,,,1299dc52-fe24-4b80-91a5-05caa2962374,,,,,,,,,,,,,,,,,,,,,,,6/12/2024 1:52:47 PM,ccber_user,6/12/2024 1:52:47 PM,ccber_user,-119.876648450375,34.4176964412749
8,Spotted Towhee,1,No,Bare ground,,,,,,,,,,,,,,,,,,,,,9ce46beb-8bae-487a-adc1-dc836579b41b,,,,,,,,,,,,,,,,,,,,,,,6/12/2024 1:54:24 PM,ccber_user,6/12/2024 1:54:24 PM,ccber_user,-119.877360494595,34.4179470383756
9,Song Sparrow,1,No,Bare ground,,,,,,,,,,,,,,,,,,,,,71fbacee-98d4-4615-80b0-c046451476cc,,,,,,,,,,,,,,,,,,,,,,,6/12/2024 1:54:40 PM,ccber_user,6/12/2024 1:54:40 PM,ccber_user,-119.876600946564,34.4179338935754
10,Mallard,1,No,Flyover,,,,,,,,,,,,,,,,,,,,,af218055-1cf5-45cb-95de-14e7d379b306,,,,,Samsung SM-T713,3.29,3.76,34.4180055166667,-119.876808866667,-29.1,1.1,0.7,0.8,1,,,15,6/12/2024 1:58:16 PM,,,,,6/12/2024 1:58:28 PM,ccber_user,6/12/2024 1:58:28 PM,ccber_user,-119.876808867027,34.418005516334
11,Song Sparrow,2,No,Vegetation - Herbaceous,,,,,,,,,,,,,,,,,,,,,6df16646-f70a-42c1-acd8-17db964e0886,,,,,,,,,,,,,,,,,,,,,,,6/12/2024 1:59:06 PM,ccber_user,6/12/2024 1:59:17 PM,ccber_user,-119.876489404552,34.4183698688423
12,Cliff Swallow,1,No,Flyover,,,,,,,,,,,,,,,,,,,,,6f1a3900-3d45-4767-9814-d7f364d5a0cb,,,,,,,,,,,,,,,,,,,,,,,6/12/2024 2:02:19 PM,ccber_user,6/12/2024 2:02:19 PM,ccber_user,-119.877578267779,34.4182471821106
13,Savannah Sparrow (Belding's),1,No,Bare ground,,,,,,,,,,,,,,,,,,,,,38ad5dba-b19e-4eee-81dc-617f9e24cc3f,,,,,,,,,,,,,,,,,,,,,,,6/12/2024 2:03:18 PM,ccber_user,6/12/2024 2:03:18 PM,ccber_user,-119.876282254844,34.4187291628645
14,Song Sparrow,1,No,Vegetation - Herbaceous,,,,,,,,,,,,,,,,,,,,,6c6f75f6-65fe-4196-bae2-0ca70f81550a,,,,,,,,,,,,,,,,,,,,,,,6/12/2024 2:03:52 PM,ccber_user,6/12/2024 2:03:52 PM,ccber_user,-119.877477348345,34.4186240039068
15,American Crow,1,No,Air,,,,,,,,,,,,,,,,,,,,,19a83384-9e97-42aa-bb97-d7b759b76c54,,,,,,,,,,,,,,,,,,,,,,,6/12/2024 2:07:46 PM,ccber_user,6/12/2024 2:07:46 PM,ccber_user,-119.877211772211,34.4183103492227
16,Song Sparrow,1,No,Fence,,,,,,,,,,,,,,,,,,,,,baaaac91-e54c-4a7c-a5e1-6ac10e965936,,,,,,,,,,,,,,,,,,,,,,,6/12/2024 2:09:38 PM,ccber_user,6/12/2024 2:09:38 PM,ccber_user,-119.878459981299,34.418700315416
17,Song Sparrow,1,No,Vegetation - Herbaceous,,,,,,,,,,,,,,,,,,,,,e7edc51d-a055-46e8-ab9d-617eb05e24c5,,,,,,,,,,,,,,,,,,,,,,,6/12/2024 2:10:13 PM,ccber_user,6/12/2024 2:10:13 PM,ccber_user,-119.878231585536,34.417933526013
