OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,CreationDate,Creator,EditDate,Editor,x,y
1,Canada Goose,5,No,Water - Wading,,,2 gosling that look similar to adults,,"Connor M, Oliver F",635,,60,100,Fog,,,,,,,,,,,c12e0a34-53de-4ce7-a653-6c5b0bfd1b39,,,,,,,,,,,,,,,,6/24/2022 1:36:44 PM,ccber_user,6/24/2022 1:36:44 PM,ccber_user,-119.874019686104,34.417841655377
2,California Towhee,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,a3c22416-d663-478a-b67f-65542416d912,,,,,,,,,,,,,,,,6/24/2022 1:45:17 PM,ccber_user,6/24/2022 1:45:17 PM,ccber_user,-119.873574961648,34.4187463506867
3,Cassin's Kingbird,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,3a7571e3-c275-44c5-a39b-397c74a35942,,,,,,,,,,,,,,,,6/24/2022 1:45:50 PM,ccber_user,6/24/2022 1:45:50 PM,ccber_user,-119.873167667295,34.4181185401089
4,House Finch,7,No,Building,,,,,,,,,,,,,,,,,,,,,b9550b3c-c3e4-42bc-b544-f43ae5080282,,,,,,,,,,,,,,,,6/24/2022 1:46:24 PM,ccber_user,6/24/2022 1:46:24 PM,ccber_user,-119.873438764475,34.4188213963788
5,Anna's Hummingbird,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,758e2b38-41f7-48f1-804d-7cd86ad799dc,,,,,,,,,,,,,,,,6/24/2022 1:48:23 PM,ccber_user,6/24/2022 1:48:23 PM,ccber_user,-119.873916411288,34.4192100952303
6,Mallard,1,No,Water - Wading,,,,,,,,,,,,,,,,,,,,,06925014-7464-48df-8499-3307abae614c,,,,,,,,,,,,,,,,6/24/2022 1:50:29 PM,ccber_user,6/24/2022 1:50:29 PM,ccber_user,-119.875333214391,34.4198623592175
7,House Finch,3,No,Fence,,Feeding/Begging,,,,,,,,,,,,,,,,,,,e93f8218-398d-46a5-a1a9-382cb6feeb7f,,,,,,,,,,,,,,,,6/24/2022 1:51:17 PM,ccber_user,6/24/2022 1:51:17 PM,ccber_user,-119.874042276937,34.4194523651782
8,Scaly-breasted Munia,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,8d34a652-5c70-4997-82dc-526c6af9f836,,,,,,,,,,,,,,,,6/24/2022 1:51:34 PM,ccber_user,6/24/2022 1:51:34 PM,ccber_user,-119.87365499615,34.4193192498847
9,California Towhee,1,No,Fence,,,,,,,,,,,,,,,,,,,,,e55424f0-e25a-468a-b5d0-1ca04e840289,,,,,,,,,,,,,,,,6/24/2022 1:54:12 PM,ccber_user,6/24/2022 1:54:12 PM,ccber_user,-119.874281100344,34.4198783329898
10,Mallard,2,No,Flyover,,,,,,,,,,,,,,,,,,,,,b29a943f-45b9-4d17-a3c7-3399b3a2a413,,,,,,,,,,,,,,,,6/24/2022 1:55:39 PM,ccber_user,6/24/2022 1:55:39 PM,ccber_user,-119.875019138215,34.4202989735741
11,Red-shouldered Hawk,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,87ae3ae5-6b43-4a9f-bd5f-ef629cc05546,,,,,,,,,,,,,,,,6/24/2022 1:56:37 PM,ccber_user,6/24/2022 1:56:37 PM,ccber_user,-119.872488902063,34.4203042986314
12,Song Sparrow,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,c8b5dfe8-2239-49bc-a93f-2ad6fd1ced0e,,,,,,,,,,,,,,,,6/24/2022 1:59:14 PM,ccber_user,6/24/2022 1:59:14 PM,ccber_user,-119.872688997301,34.4210657064575
13,House Finch,1,No,Flyover,,,,,,,,,,,,,,,,,,,,,5049691a-b994-4848-902e-89752296a697,,,,,,,,,,,,,,,,6/24/2022 1:59:40 PM,ccber_user,6/24/2022 1:59:40 PM,ccber_user,-119.872217804883,34.4207994807954
14,Say's Phoebe,1,No,Fence,,,,,,,,,,,,,,,,,,,,,a30f13ad-f6db-4474-b37b-31efbd393322,,,,,,,,,,,,,,,,6/24/2022 2:00:49 PM,ccber_user,6/24/2022 2:00:49 PM,ccber_user,-119.8714561521,34.4206663676465
