OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,CreationDate,Creator,EditDate,Editor,x,y
1,Red-breasted Merganser,2,No,Water - Floating,,,,4.7,Lisa Mark max,755,,54,,,,,,,,,,,,,92c67bff-c485-46e7-a575-be610a68dea8,,,,,,,,,,,,,,,,1/10/2022 3:55:47 PM,ccber_user,1/10/2022 3:55:47 PM,ccber_user,-119.874179474834,34.4177627093759
2,Double-crested Cormorant,1,No,Mud,,,,,,,,,,,,,,,,,,,,,acdf8506-e45c-4c49-bef4-c897979b2678,,,,,,,,,,,,,,,,1/10/2022 3:56:26 PM,ccber_user,1/10/2022 3:56:26 PM,ccber_user,-119.874687374211,34.4180933147107
3,Black-crowned Night-Heron,1,No,Bridge,,,,,,,,,,,,,,,,,,,,,2336a9a6-0676-40d6-88d7-6693df1dcf1f,,,,,,,,,,,,,,,,1/10/2022 3:59:04 PM,ccber_user,1/10/2022 3:59:04 PM,ccber_user,-119.874334225811,34.4175957703368
4,Greater Yellowlegs,1,No,Mud,,,,,,,,,,,,,,,,,,,,,4fc1cb02-d255-4166-be42-602d42fb6781,,,,,,,,,,,,,,,,1/10/2022 3:59:25 PM,ccber_user,1/10/2022 3:59:25 PM,ccber_user,-119.875314312041,34.4180474880572
5,Great Blue Heron,1,No,Mud,,,,,,,,,,,,,,,,,,,,,c52c2364-1753-4e9a-8f5c-a2572ff935e1,,,,,,,,,,,,,,,,1/10/2022 4:00:10 PM,ccber_user,1/10/2022 4:00:10 PM,ccber_user,-119.874770701038,34.4181882404233
6,Great Egret,1,No,Mud,,,,,,,,,,,,,,,,,,,,,ef07b6fd-308a-4701-9f0d-328991f8bb83,,,,,,,,,,,,,,,,1/10/2022 4:00:37 PM,ccber_user,1/10/2022 4:00:37 PM,ccber_user,-119.875278600415,34.4186170425105
7,Least Sandpiper,1,No,Mud,,,,,,,,,,,,,,,,,,,,,287065ae-839f-416f-a15f-2765f2b12749,,,,,,,,,,,,,,,,1/10/2022 4:01:52 PM,ccber_user,1/10/2022 4:01:52 PM,ccber_user,-119.875020683317,34.4188298065016
8,Northern Shoveler,5,No,Water - Wading,,,,,,,,,,,,,,,,,,,,,5c2c3d7d-5a0c-470f-93cb-0652650f09ee,,,,,,,,,,,,,,,,1/10/2022 4:03:03 PM,ccber_user,1/10/2022 4:03:03 PM,ccber_user,-119.875036554752,34.4185974032773
9,Killdeer,5,No,Mud,,,,,,,,,,,,,,,,,,,,,8994bce2-7d5c-45b6-b05c-3c066e559f8c,,,,,,,,,,,,,,,,1/10/2022 4:03:28 PM,ccber_user,1/10/2022 4:03:28 PM,ccber_user,-119.874727053695,34.4179754755408
10,Double-crested Cormorant,2,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,27b9e8ef-1d23-43ce-bb92-2fed9116098a,,,,,,,,,,,,,,,,1/10/2022 4:08:52 PM,ccber_user,1/10/2022 4:08:52 PM,ccber_user,-119.874310417761,34.4178510889938
11,Black-bellied Plover,1,No,Mud,,,,,,,,,,,,,,,,,,,,,cd03fa94-647c-49f5-824b-695c4327b90f,,,,,,,,,,,,,,,,1/10/2022 4:09:10 PM,ccber_user,1/10/2022 4:09:10 PM,ccber_user,-119.875179401255,34.4190720293835
12,Killdeer,2,No,Mud,,,,,,,,,,,,,,,,,,,,,168c7a4f-ab75-454a-94d5-4015ee9bc7c1,,,,,,,,,,,,,,,,1/10/2022 4:09:29 PM,ccber_user,1/10/2022 4:09:29 PM,ccber_user,-119.875223049496,34.4191767735352
13,Anna's Hummingbird,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,2cad336f-f2ba-4f3b-8991-62ab0b5f5fff,,,,,,,,,,,,,,,,1/10/2022 4:14:00 PM,ccber_user,1/10/2022 4:14:00 PM,ccber_user,-119.87348904947,34.4185515769001
