eBird species code 2018,sort v2018,category,English name,scientific name,range,order,family,eBird species group,extinct,extinct year,,,,,,,,,,,,,,,,,,,
malkoh1,3088.0,spuh,malkoha sp.,Cuculidae sp. (malkoha sp.),,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
chwcuc1,3089.0,species,Chestnut-winged Cuckoo,Clamator coromandus,India to SE Asia; winters to Greater Sundas,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
grscuc1,3090.0,species,Great Spotted Cuckoo,Clamator glandarius,SW Palearctic and Africa south of the Sahara,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
levcuc1,3091.0,species,Levaillant's Cuckoo,Clamator levaillantii,Africa south of the Sahara,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
piecuc1,3092.0,species,Pied Cuckoo,Clamator jacobinus,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3093.0,subspecies,,Clamator jacobinus pica,Sub-Saharan Africa; nw India to Nepal and Myanmar,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3094.0,subspecies,,Clamator jacobinus serratus,South Africa,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3095.0,subspecies,,Clamator jacobinus jacobinus,S India and Sri Lanka,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
litcuc2,3096.0,species,Little Cuckoo,Coccycua minuta,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3097.0,subspecies,,Coccycua minuta panamensis,Lowlands of e Panama and n Colombia (west of Gulf of Urabá),Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3098.0,subspecies,,Coccycua minuta barinensis,Extreme e Colombia and adjacent w Venezuela,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3099.0,subspecies,,Coccycua minuta gracilis,Colombia west of the Andes and w Ecuador,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3100.0,subspecies,,Coccycua minuta minuta,"E Colombia to Venezuela, the Guianas, Amaz. Brazil and Peru",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3101.0,subspecies,,Coccycua minuta chaparensis,N Bolivia (Río Chaparé region),Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
dwacuc1,3102.0,species,Dwarf Cuckoo,Coccycua pumila,Tropical n Colombia to ne Venezuela; one record from n Brazil,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
asccuc1,3103.0,species,Ash-colored Cuckoo,Coccycua cinerea,"breeds Paraguay, northern Argentina, southern Brazil, and Uruguay; winters north at least to Bolivia and western Brazil south of the Amazon, rarely to eastern Peru and southeastern Colombia",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
squcuc1,3104.0,species,Squirrel Cuckoo,Piaya cayana,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
squcuc2,3105.0,group (monotypic),Squirrel Cuckoo (West Mexico),Piaya cayana mexicana,Pacific slope of Mexico (Sinaloa to Isthmus of Tehuántepec),Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
squcuc3,3106.0,group (monotypic),Squirrel Cuckoo (Middle America),Piaya cayana thermophila,"E Mexico to e Panama, nw Colombia and offshore islands",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
squcuc5,3107.0,group (monotypic),Squirrel Cuckoo (nigricrissa),Piaya cayana nigricrissa,"western Colombia (west slope of Western Andes, the Cauca Valley, and the east slope of the northern Central Andes), western Ecuador, and extreme northwestern Peru (Tumbes and Piura)",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
squcuc4,3108.0,group (polytypic),Squirrel Cuckoo (Amazonian),Piaya cayana [cayana Group],,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3109.0,subspecies,,Piaya cayana mehleri,NE Colombia and coastal n Venezuela east to Paría Peninsula,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3110.0,subspecies,,Piaya cayana mesura,Colombia east of the Andes and e Ecuador,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3111.0,subspecies,,Piaya cayana circe,W Venezuela (region south of Lake Maracaibo),Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3112.0,subspecies,,Piaya cayana cayana,Orinoco Valley of Venezuela to the Guianas and n Brazil,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3113.0,subspecies,,Piaya cayana insulana,Trinidad,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3114.0,subspecies,,Piaya cayana obscura,Brazil south of the Amazon (Rio Juruá to Rio Tapajós),Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3115.0,subspecies,,Piaya cayana hellmayri,Brazil south of the Amazon (Santarém to Amazon delta),Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3116.0,subspecies,,Piaya cayana pallescens,"E Brazil (Piauí, Pernambuco, n Bahia and adjacent e Goiás)",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3117.0,subspecies,,Piaya cayana cabanisi,S-central Brazil (central Mato Grosso and adjacent Goiás),Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3118.0,subspecies,,Piaya cayana macroura,"SE Brazil to Paraguay, Uruguay and ne Argentina",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3119.0,subspecies,,Piaya cayana mogenseni,S Bolivia and adjacent nw Argentina,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
blbcuc1,3120.0,species,Black-bellied Cuckoo,Piaya melanogaster,"Guianas and Venezuela to e Ecuador, Peru and w Brazil",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
y00857,3121.0,slash,Squirrel/Black-bellied Cuckoo,Piaya cayana/melanogaster,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
dabcuc1,3122.0,species,Dark-billed Cuckoo,Coccyzus melacoryphus,"Venezuela to the Guianas, Brazil, n Argentina and Galapagos",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
yebcuc,3123.0,species,Yellow-billed Cuckoo,Coccyzus americanus,Canada to Mexico and West Indies; winters to n Argentina,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
pebcuc1,3124.0,species,Pearly-breasted Cuckoo,Coccyzus euleri,Locally from n South America to s Brazil and ne Argentina,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
y00958,3125.0,slash,Yellow-billed/Pearly-breasted Cuckoo,Coccyzus americanus/euleri,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
mancuc,3126.0,species,Mangrove Cuckoo,Coccyzus minor,Locally from s Florida to coastal n Brazil,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
coccuc1,3127.0,species,Cocos Cuckoo,Coccyzus ferrugineus,Cocos I. (off w Costa Rica),Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
bkbcuc,3128.0,species,Black-billed Cuckoo,Coccyzus erythropthalmus,Breeds e North America; winters to Bolivia,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
y00616,3129.0,slash,Yellow-billed/Black-billed Cuckoo,Coccyzus americanus/erythropthalmus,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
gyccuc,3130.0,species,Gray-capped Cuckoo,Coccyzus lansbergi,N Colombia and n Venezuela; migrates to w Peru,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
chbcuc4,3131.0,species,Chestnut-bellied Cuckoo,Coccyzus pluvialis,Jamaica,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
babcuc4,3132.0,species,Bay-breasted Cuckoo,Coccyzus rufigularis,Hispaniola and Gonâve I.,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
jamlic1,3133.0,species,Jamaican Lizard-Cuckoo,Coccyzus vetula,Jamaica,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
purlic1,3134.0,species,Puerto Rican Lizard-Cuckoo,Coccyzus vieilloti,Puerto Rico,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
grelic1,3135.0,species,Great Lizard-Cuckoo,Coccyzus merlini,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
grelic2,3136.0,group (monotypic),Great Lizard-Cuckoo (Bahama),Coccyzus merlini bahamensis,"Bahamas (Andros, New Providence, and Eleuthera)",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
grelic3,3137.0,group (polytypic),Great Lizard-Cuckoo (Cuban),Coccyzus merlini [merlini Group],,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3138.0,subspecies,,Coccyzus merlini santamariae,Islands off n-central Cuba,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3139.0,subspecies,,Coccyzus merlini merlini,Cuba,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3140.0,subspecies,,Coccyzus merlini decolor,Isle of Pines,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
hislic1,3141.0,species,Hispaniolan Lizard-Cuckoo,Coccyzus longirostris,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3142.0,subspecies,,Coccyzus longirostris longirostris,Hispaniola and Saona I.,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3143.0,subspecies,,Coccyzus longirostris petersi,La Mohotiere I. and Gonâve I. (off w Haiti),Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
coccyz1,3144.0,spuh,Coccyzus sp.,Coccyzus sp.,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
thbcuc1,3145.0,species,Thick-billed Cuckoo,Pachycoccyx audeberti,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
thbcuc2,3146.0,group (polytypic),Thick-billed Cuckoo (African),Pachycoccyx audeberti validus/brazzae,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3147.0,subspecies,,Pachycoccyx audeberti brazzae,"Sierra Leone to Ghana, Nigeria, Cameroon and western Democratic Republic of the Congo",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3148.0,subspecies,,Pachycoccyx audeberti validus,"eastern Democratic Republic of the Congo to southeastern Kenya, Tanzania, Mozambique and northeastern South Africa",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
thbcuc3,3149.0,group (monotypic),Thick-billed Cuckoo (Malagasy),Pachycoccyx audeberti audeberti,NE Madagascar,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
dwakoe1,3150.0,species,Dwarf Koel,Microdynamis parva,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3151.0,subspecies,,Microdynamis parva grisescens,N New Guinea (Humboldt Bay to Kumusi River),Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3152.0,subspecies,,Microdynamis parva parva,Locally in s New Guinea and D'Entrecasteaux Archipelago,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
asikoe2,3153.0,species,Asian Koel,Eudynamys scolopaceus,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3154.0,subspecies,,Eudynamys scolopaceus scolopaceus,"Nepal to Pakistan, India, Sri Lanka, Laccadives and Maldives",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3155.0,subspecies,,Eudynamys scolopaceus chinensis,S China and Indochina; winters to Borneo,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3156.0,subspecies,,Eudynamys scolopaceus harterti,Hainan (s China),Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3157.0,subspecies,,Eudynamys scolopaceus malayanus,"NE India to Thailand, Malaya, Sumatra, Borneo and L Sundas",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3158.0,subspecies,,Eudynamys scolopaceus mindanensis,"Philippines (including Palawan), Sulu Archipelago, Sangihe, Siau, Ruang, Talaud Islands, and the northern Moluccas",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
bkbkoe1,3159.0,species,Black-billed Koel,Eudynamys melanorhynchus,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3160.0,subspecies,,Eudynamys melanorhynchus melanorhynchus,Sulawesi,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3161.0,subspecies,,Eudynamys melanorhynchus facialis,Sula Islands,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
asikoe3,3162.0,species,Pacific Koel,Eudynamys orientalis,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
packoe1,3163.0,group (polytypic),Pacific Koel (Oriental),Eudynamys orientalis [orientalis Group],,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3164.0,subspecies,,Eudynamys orientalis orientalis,"S Moluccas (Buru, Manipa, Kelang, Seram, Ambon, Watubela)",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3165.0,subspecies,,Eudynamys orientalis picatus,Kai Islands and Sumba to Timor and Roma,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3166.0,subspecies,,Eudynamys orientalis rufiventer,New Guinea,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3167.0,subspecies,,Eudynamys orientalis salvadorii,Bismarck Archipelago,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3168.0,subspecies,,Eudynamys orientalis alberti,Solomon Islands,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
packoe2,3169.0,group (polytypic),Pacific Koel (Australian),Eudynamys orientalis cyanocephalus/subcyanocephalus,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3170.0,subspecies,,Eudynamys orientalis subcyanocephalus,NW Australia to nw Queensland; winters to s Moluccas,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3171.0,subspecies,,Eudynamys orientalis cyanocephalus,N Queensland to s New South Wales; winters to Moluccas,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
lotkoe1,3172.0,species,Long-tailed Koel,Urodynamis taitensis,New Zealand; winters to Polynesia and Bismarck Archipelago,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
chbcuc2,3173.0,species,Channel-billed Cuckoo,Scythrops novaehollandiae,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3174.0,subspecies,,Scythrops novaehollandiae fordi,"Sulawesi and the Banggai, Sula, and Tukangbesi Islands",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3175.0,subspecies,,Scythrops novaehollandiae schoddei,Bismarck Archipelago,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3176.0,subspecies,,Scythrops novaehollandiae novaehollandiae,"breeds northern and eastern Australia; migrates to New Guinea, Lesser Sundas, and Moluccas",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
asecuc1,3177.0,species,Asian Emerald Cuckoo,Chrysococcyx maculatus,"India to s China, SE Asia, Sumatra, Andaman and Nicobar is.",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
viocuc1,3178.0,species,Violet Cuckoo,Chrysococcyx xanthorhynchus,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3179.0,subspecies,,Chrysococcyx xanthorhynchus xanthorhynchus,"NE India to SE Asia, Greater Sundas and Palawan",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3180.0,subspecies,,Chrysococcyx xanthorhynchus amethystinus,Philippine Islands,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
y00855,3181.0,slash,Asian Emerald/Violet Cuckoo,Chrysococcyx maculatus/xanthorhynchus,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
didcuc1,3182.0,species,Dideric Cuckoo,Chrysococcyx caprius,Intra-African migrant Africa south of the Sahara and s Arabia,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
klacuc1,3183.0,species,Klaas's Cuckoo,Chrysococcyx klaas,Widespread Africa south of the Sahara and Bioko,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
y00856,3184.0,slash,Dideric/Klaas's Cuckoo,Chrysococcyx caprius/klaas,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
yetcuc1,3185.0,species,Yellow-throated Cuckoo,Chrysococcyx flavigularis,"Sierra Leone to southern Cameroon, southwestern Sudan, western Uganda, and eastern Democratic Republic of the Congo",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
afecuc1,3186.0,species,African Emerald Cuckoo,Chrysococcyx cupreus,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
afecuc2,3187.0,group (monotypic),African Emerald Cuckoo (African),Chrysococcyx cupreus cupreus,Africa south of the Sahara,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
afecuc3,3188.0,group (monotypic),African Emerald Cuckoo (Bioko),Chrysococcyx cupreus intermedius,Bioko (Gulf of Guinea),Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
afecuc4,3189.0,group (monotypic),African Emerald Cuckoo (Insular),Chrysococcyx cupreus insularum,"São Tomé, Príncipe, and Annobón (Gulf of Guinea)",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
lobcuc1,3190.0,species,Long-billed Cuckoo,Chrysococcyx megarhynchus,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3191.0,subspecies,,Chrysococcyx megarhynchus megarhynchus,Aru Islands and New Guinea,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3192.0,subspecies,,Chrysococcyx megarhynchus sanfordi,Waigeo I. (off n New Guinea),Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
hobcuc1,3193.0,species,Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,Australia and Tasmania; winters to Java,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
blecuc1,3194.0,species,Black-eared Cuckoo,Chrysococcyx osculans,Australia,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
rtbcuc1,3195.0,species,Rufous-throated Bronze-Cuckoo,Chrysococcyx ruficollis,Humid montane forests of New Guinea,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
shbcuc1,3196.0,species,Shining Bronze-Cuckoo,Chrysococcyx lucidus,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
shibrc1,3197.0,group (monotypic),Shining Bronze-Cuckoo (Solomon Is.),Chrysococcyx lucidus harterti,Solomon Islands (Rennell and Bellona),Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
shibrc2,3198.0,group (monotypic),Shining Bronze-Cuckoo (New Caledonian),Chrysococcyx lucidus layardi,"New Caledonia, Loyalty Is., Vanuatu, Banks and Santa Cruz is.",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
shibrc3,3199.0,group (monotypic),Shining Bronze-Cuckoo (Shining),Chrysococcyx lucidus lucidus,New Zealand; winters to n Melanesia,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
shibrc4,3200.0,group (monotypic),Shining Bronze-Cuckoo (Golden),Chrysococcyx lucidus plagosus,s Australia and Tasmania; winters to n Melanesia,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
webcuc1,3201.0,species,White-eared Bronze-Cuckoo,Chrysococcyx meyerii,Montane forests of New Guinea and Batanta I.,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
libcuc1,3202.0,species,Little Bronze-Cuckoo,Chrysococcyx minutillus,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
litbrc1,3203.0,group (polytypic),Little Bronze-Cuckoo (Little),Chrysococcyx minutillus [minutillus Group],,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3204.0,subspecies,,Chrysococcyx minutillus peninsularis,Extreme s Thailand and Malay Peninsula,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3205.0,subspecies,,Chrysococcyx minutillus albifrons,N Sumatra and w Java,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3206.0,subspecies,,Chrysococcyx minutillus cleis,N and e Borneo,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3207.0,subspecies,,Chrysococcyx minutillus minutillus,"Moluccas, Lesser Sundas, n Australia and Melville I.",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3208.0,subspecies,,Chrysococcyx minutillus barnardi,E Australia (se Queensland to ne New South Wales),Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
litbrc2,3209.0,group (polytypic),Little Bronze-Cuckoo (Gould's),Chrysococcyx minutillus [poecilurus Group],,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3210.0,subspecies,,Chrysococcyx minutillus aheneus,SE Borneo and s Philippine Islands,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3211.0,subspecies,,Chrysococcyx minutillus jungei,"Sulawesi, Madu, Flores, and Timor; the population on Timor may represent an undescribed subspecies",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3212.0,subspecies,,Chrysococcyx minutillus misoriensis,Lowlands of coastal n New Guinea and adjacent islands,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3213.0,subspecies,,Chrysococcyx minutillus poecilurus,Lowlands of coastal s New Guinea and adjacent islands,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3214.0,subspecies,,Chrysococcyx minutillus russatus,NE Australia (n and e Queensland),Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
litbrc3,3215.0,group (polytypic),Little Bronze-Cuckoo (Banda),Chrysococcyx minutillus rufomerus/salvadorii,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3216.0,subspecies,,Chrysococcyx minutillus rufomerus,"Lesser Sundas (Romang, Kisar, Leti, Moa, Sermata and Damar)",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
,3217.0,subspecies,,Chrysococcyx minutillus salvadorii,Known from one specimen from Tepa I. (Babar Islands),Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
litbrc5,3218.0,group (monotypic),Little Bronze-Cuckoo (Pied),Chrysococcyx minutillus crassirostris,"Moluccas (Tayandu, Kai Is.) and Tanimbar Is. (Yamdena, Larat)",Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
y00854,3219.0,slash,Shining/Little Bronze-Cuckoo,Chrysococcyx lucidus/minutillus,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
bronze1,3220.0,spuh,bronze-cuckoo sp.,Chrysococcyx sp. (bronze-cuckoo sp.),,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
chryso1,3221.0,spuh,Chrysococcyx sp.,Chrysococcyx sp.,,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
palcuc1,3222.0,species,Pallid Cuckoo,Cacomantis pallidus,Australia and Tasmania; winters north to Wallacea,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,,,,,,,,,,,,,,,,,,,,,
