eBird species code 2018,sort v2018,category,English name,scientific name,range,order,family,eBird species group,extinct,extinct year,,,,,,,,,,,,,,,,,,,
soltin1,35.0,species,Solitary Tinamou,Tinamus solitarius,E Brazil to se Paraguay and extreme ne Argentina (Misiones),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
blatin1,36.0,species,Black Tinamou,Tinamus osgoodi,,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,37.0,subspecies,,Tinamus osgoodi hershkovitzi,Andes of s-central Colombia,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,38.0,subspecies,,Tinamus osgoodi osgoodi,Andes of se Peru,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
gretin1,39.0,species,Great Tinamou,Tinamus major,,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,40.0,subspecies,,Tinamus major robustus,Lowlands of se Mexico to Guatemala and n Nicaragua,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,41.0,subspecies,,Tinamus major percautus,SE Mexico (Yucatán Pen.) to Petén of Guatemala and Belize,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,42.0,subspecies,,Tinamus major fuscipennis,N Nicaragua to Costa Rica and w Panama,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,43.0,subspecies,,Tinamus major castaneiceps,SW Costa Rica and w Panama,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,44.0,subspecies,,Tinamus major brunneiventris,S-central Panama,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,45.0,subspecies,,Tinamus major saturatus,Pacific slope of e Panama and nw Colombia,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,46.0,subspecies,,Tinamus major latifrons,SW Colombia and w Ecuador,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,47.0,subspecies,,Tinamus major zuliensis,Tropical ne Colombia and w Venezuela,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,48.0,subspecies,,Tinamus major peruvianus,SE Colombia east of the Andes to Bolivia and extreme w Brazil,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,49.0,subspecies,,Tinamus major serratus,Extreme s Venezuela and adjacent nw Brazil,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,50.0,subspecies,,Tinamus major major,E Venezuela to the Guianas and ne Brazil,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,51.0,subspecies,,Tinamus major olivascens,Amazonian Brazil,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
whttin1,52.0,species,White-throated Tinamou,Tinamus guttatus,SE Colombia and s Venezuela to n Bolivia and Amaz. Brazil,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
tinamu1,53.0,spuh,Tinamus sp.,Tinamus sp.,,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
cintin1,54.0,species,Cinereous Tinamou,Crypturellus cinereus,"SE Colombia to Guianas, s Venezuela, n Bolivia and ne Brazil",Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
bertin1,55.0,species,Berlepsch's Tinamou,Crypturellus berlepschi,Tropical forests of nw Colombia to nw Ecuador,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
littin1,56.0,species,Little Tinamou,Crypturellus soui,,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,57.0,subspecies,,Crypturellus soui meserythrus,"Tropical s Mexico to Belize, Honduras and se Nicaragua",Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,58.0,subspecies,,Crypturellus soui modestus,Costa Rica and w Panama,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,59.0,subspecies,,Crypturellus soui capnodes,Humid lowlands of nw Panama,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,60.0,subspecies,,Crypturellus soui poliocephalus,Pacific slope of Panama (Veraguas to Canal Zone),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,61.0,subspecies,,Crypturellus soui panamensis,Pacific and Caribbean slopes of Panama,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,62.0,subspecies,,Crypturellus soui harterti,Pacific slope of Colombia and Ecuador,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,63.0,subspecies,,Crypturellus soui caucae,Magdalena Valley of n-central Colombia,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,64.0,subspecies,,Crypturellus soui mustelinus,NE Colombia and extreme nw Venezuela,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,65.0,subspecies,,Crypturellus soui soui,E Colombia to the Guianas and ne Brazil,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,66.0,subspecies,,Crypturellus soui caquetae,SE Colombia (Meta to Caquetá),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,67.0,subspecies,,Crypturellus soui andrei,Coastal n Venezuela (Falcón to Monagas); Trinidad,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,68.0,subspecies,,Crypturellus soui nigriceps,Tropical e Ecuador and ne Peru,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,69.0,subspecies,,Crypturellus soui inconspicuus,Central and e Peru and n Bolivia,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,70.0,subspecies,,Crypturellus soui albigularis,N and e Brazil,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
teptin1,71.0,species,Tepui Tinamou,Crypturellus ptaritepui,Tepuis of s Venezuela (Ptari-tepui and Sororopán-tepui),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
brotin1,72.0,species,Brown Tinamou,Crypturellus obsoletus,,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
brntin1,73.0,group (monotypic),Brown Tinamou (castaneus),Crypturellus obsoletus castaneus,Tropical e Colombia to e Ecuador and n Peru,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
brntin2,74.0,group (polytypic),Brown Tinamou (Brown),Crypturellus obsoletus [obsoletus Group],,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,75.0,subspecies,,Crypturellus obsoletus ochraceiventris,Subtropical central Peru (Huánuco to Cuzco),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,76.0,subspecies,,Crypturellus obsoletus traylori,Subtropical se Peru (Marcapata Valley of Cuzco),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,77.0,subspecies,,Crypturellus obsoletus punensis,Extreme se Peru and yungas of n Bolivia,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,78.0,subspecies,,Crypturellus obsoletus cerviniventris,N Venezuela,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,79.0,subspecies,,Crypturellus obsoletus knoxi,Subtropical nw Venezuela,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,80.0,subspecies,,Crypturellus obsoletus griseiventris,N-central Brazil (Santarém region along Rio Tapajós ),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,81.0,subspecies,,Crypturellus obsoletus hypochraceus,SW Brazil (upper Río Madeira in Rondônia),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,82.0,subspecies,,Crypturellus obsoletus obsoletus,E Paraguay to se Brazil and extreme ne Argentina (Misiones),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
undtin1,83.0,species,Undulated Tinamou,Crypturellus undulatus,,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,84.0,subspecies,,Crypturellus undulatus manapiare,S Venezuela (upper Río Ventuari in Amazonas),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,85.0,subspecies,,Crypturellus undulatus simplex,SW Guyana and immediately adjacent Brazil,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,86.0,subspecies,,Crypturellus undulatus yapura,"SE Colombia to e Ecuador, e Peru and nw Brazil",Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,87.0,subspecies,,Crypturellus undulatus vermiculatus,E Brazil (s Maranhão to Mato Grosso),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,88.0,subspecies,,Crypturellus undulatus adspersus,Brazil south of the Amazon (Rio Madeira to Rio Tapajós),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,89.0,subspecies,,Crypturellus undulatus undulatus,SE Peru to n Argentina,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
pabtin1,90.0,species,Pale-browed Tinamou,Crypturellus transfasciatus,Tropical forests of w Ecuador to nw Peru,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
bratin1,91.0,species,Brazilian Tinamou,Crypturellus strigulosus,"Tropical s Amazonian Brazil, adjacent e Peru and nw Bolivia",Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
gyltin1,92.0,species,Gray-legged Tinamou,Crypturellus duidae,Tropical forests of e-central Colombia to s Venezuela,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
reltin1,93.0,species,Red-legged Tinamou,Crypturellus erythropus,,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,94.0,subspecies,,Crypturellus erythropus columbianus,Tropical north-central Colombia,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,95.0,subspecies,,Crypturellus erythropus saltuarius,NE Colombia (Sierra de Ocaña),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,96.0,subspecies,,Crypturellus erythropus idoneus,NE Colombia and adjacent nw Venezuela,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,97.0,subspecies,,Crypturellus erythropus cursitans,N Colombia east of the Andes and nw Venezuela,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,98.0,subspecies,,Crypturellus erythropus spencei,N Venezuela,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,99.0,subspecies,,Crypturellus erythropus margaritae,Margarita I. (off Venezuela),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,100.0,subspecies,,Crypturellus erythropus erythropus,"E Venezuela to Guyana, Suriname and ne Brazil",Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
yeltin1,101.0,species,Yellow-legged Tinamou,Crypturellus noctivagus,,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
yeltin2,102.0,group (monotypic),Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele,Lowlands of ne Brazil (Piauí to Bahia and Minas Gerais),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
yeltin3,103.0,group (monotypic),Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus,Coastal se Brazil (Minas Gerais to Rio Grande do Sul),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
blctin1,104.0,species,Black-capped Tinamou,Crypturellus atrocapillus,,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,105.0,subspecies,,Crypturellus atrocapillus atrocapillus,lowlands of southeastern Peru (central Ucayali south to Puno) and southwestern Brazil (Acre),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,106.0,subspecies,,Crypturellus atrocapillus garleppi,Lowlands of n Bolivia,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
slbtin1,107.0,species,Slaty-breasted Tinamou,Crypturellus boucardi,,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,108.0,subspecies,,Crypturellus boucardi boucardi,Gulf-Caribbean lowlands of se Mexico to nw Honduras,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,109.0,subspecies,,Crypturellus boucardi costaricensis,Caribbean slope of Honduras to n Costa Rica,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
chotin1,110.0,species,Choco Tinamou,Crypturellus kerriae,Humid foothills of extreme se Panama and nw Colombia,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
